순번,회사명,공장대표주소,공장대표주소(지번),업종명,전화번호,생산품
3667,(주)한국유화,부산광역시 강서구 녹산산단165로 36-20 (송정동) (총 2 필지),부산광역시 강서구 송정동1530-1번지,그 외 기타 고무제품 제조업 외 2 종,051-831-0901,
3668,(주)한국융합기술개발원,,부산광역시 기장군 장안읍 임랑리 동남권방사선의·과학일반산업단지 내 산업10-1,무인 항공기 및 무인 비행장치 제조업,051-263-8653,
3669,(주)한국이엔지,부산광역시 강서구 낙동남로622번길 23-1 (녹산동),부산광역시 강서구 녹산동 178-8번지,육상 금속 골조 구조재 제조업 외 2 종,051-973-0451,
3670,(주)한국정공,부산광역시 강서구 미음산단4로 196(미음동),부산광역시 강서구 미음동 1547-5,"탭, 밸브 및 유사장치 제조업",051-303-4811,
3671,(주)한국종합기계,부산광역시 사하구 두송로 215 (구평동),부산광역시 사하구 구평동 435-328번지,선박 구성 부분품 제조업 외 9 종,051-416-7583,
3672,(주)한국종합기계,부산광역시 사하구 다산로 181 (다대동),부산광역시 사하구 다대동 1504-4번지,액체 펌프 제조업 외 3 종,051-416-7583,
3673,(주)한국종합기계,부산광역시 사하구 다산로 202 (다대동),부산광역시 사하구 다대동 1503-10,선박 구성 부분품 제조업,051-416-7583,
3674,(주)한국종합냉동,부산광역시 영도구 해양로15번길 1(청학동),부산광역시 영도구 청학동 330-100,선박 구성 부분품 제조업,051-262-9871,
3675,(주)한국종합엔지니어링,부산광역시 사하구 다산로 181 (다대동),부산광역시 사하구 다대동 1504-4번지,선박 구성 부분품 제조업,051-714-6262,
3676,(주)한국코스코,"부산광역시 영도구 태종로 535 (동삼동, (주)한국선박설비)",부산광역시 영도구 동삼제3동 187-1번지,기타 직물제품 제조업,051-405-6348,
3677,(주)한국크레아,"부산광역시 해운대구 센텀북대로 60, 5층 514호 (재송동, 센텀 아이에스타워) 외 1필지",부산광역시 해운대구 재송동 1209번지 센텀 아이에스타워 5층 514호 외 1필지,"사진기, 영사기 및 관련 장비 제조업  외 6 종",051-808-5566,
3678,(주)한국크레아,부산광역시 기장군 기장읍 청강로 28,부산광역시 기장군 기장읍 청강리 154-5,"사진기, 영사기 및 관련 장비 제조업  외 4 종",051-808-5566,
3679,(주)한국클래드텍,부산광역시 강서구 녹산산단407로 73 (송정동) (총 2 필지) 외 1필지,부산광역시 강서구 송정동 1644-4번지 외 1필지,열간 압연 및 압출 제품 제조업,051-325-8231,
3680,(주)한국택트,부산광역시 사하구 장평로132번길 17 (장림동),부산광역시 사하구 장림동 345-5번지,"천막, 텐트 및 유사 제품 제조업 외 1 종",,
3681,(주)한국특강,부산광역시 강서구 녹산산단407로 84 (송정동),부산광역시 강서구 송정동 1660-1번지,열간 압연 및 압출 제품 제조업,051-310-2611,
3682,(주)한국특강,부산광역시 사상구 장인로77번길 52(학장동) 외 1필지,부산광역시 사상구 학장동 727-3 외 1필지,열간 압연 및 압출 제품 제조업,051-323-2611,
3683,(주)한국티씨,부산광역시 해운대구 센텀중앙로 90 (재송동) 16층 1607호,부산광역시 해운대구 재송동 1212  16층 1607호,"라디오, 녹음 및 재생 기기 제조업 외 2 종",051-245-9339,
3684,(주)한국티엠아이,부산광역시 강서구 화전산단2로 17 (화전동),부산광역시 강서구 화전동 579-5 번지,선박 구성 부분품 제조업,051-971-9911,
3685,(주)한국티엠에스,부산광역시 사상구 학장로135번길 122 (학장동) 한국TMS,부산광역시 사상구 학장동 245-2 한국TMS,신발 부분품 제조업,051-313-0232,
3686,(주)한국티엠에스,,부산광역시 사상구 학장동 245-2,신발 부분품 제조업,051-313-0232,
3687,(주)한국파이핑,부산광역시 강서구 녹산산단362로 29 (송정동),부산광역시 강서구 송정동 1742-4번지,강관 제조업 외 1 종,051-941-0450,
3688,(주)한국팬트라,부산광역시 강서구 낙동남로991번길 35 (명지동),부산광역시 강서구 명지동 3174-8번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-831-3400,
3689,(주)한국포미르메디칼  ,부산광역시 기장군 장안읍 반룡산단3로 4,부산광역시 기장군 장안읍 반룡리 909-9,그 외 기타 일반목적용 기계 제조업 외 1 종,051-714-5142,
3690,(주)한국푸드본,"부산광역시 기장군 정관읍 산단1로 66-81 1층, 2층","부산광역시 기장군 정관읍 달산리 938-65 1층, 2층",빵류 제조업 외 1 종,051-715-3580,
3691,(주)한국플랜텍,"부산광역시 강서구 미음산단4로 10, 2층(미음동)",부산광역시 강서구 미음동 1551-11 2층,그 외 기타 금속가공업,051-974-1801,
3692,(주)한국호이스트,부산광역시 강서구 과학산단1로103번길 42 (지사동),부산광역시 강서구 지사동 1207-16,기타 물품 취급장비 제조업,051-831-0871,
3693,(주)한그린텍,부산광역시 강서구 녹산산업북로 46 (송정동),부산광역시 강서구 송정동 1502-2번지,금속 조립구조재 제조업 외 2 종,051-831-8408,
3694,(주)한길밸브,"부산광역시 강서구 녹산산단261로 84, (송정동,1581-1) (송정동)",부산광역시 강서구 송정동 1581-1번지,"탭, 밸브 및 유사장치 제조업",051-831-4106,
3695,(주)한길전자,"부산광역시 금정구 개좌로 282, 3층 (회동동)",부산광역시 금정구 회동동 554번지 3층,그 외 기타 전자부품 제조업 외 1 종,051-521-4240,
3696,(주)한길테크,부산광역시 금정구 개좌로 282 (회동동),부산광역시 금정구 회동동 554번지,"전기회로 개폐, 보호장치 제조업 외 2 종",051-521-4240,
3697,(주)한길텍스,부산광역시 강서구 녹산산단231로 25 (송정동),부산광역시 강서구 송정동 1551-12번지,화학섬유직물 직조업,051-831-5377,
3698,(주)한길트레이딩,부산광역시 사상구 낙동대로 1354 (삼락동),부산광역시 사상구 삼락동 388-1번지,기타 신발 제조업,051-322-4165,
3699,(주)한덕산업,부산광역시 사상구 새벽로223번길 98 (괘법동),부산광역시 사상구 괘법동 565-16번지,그 외 기타 전기장비 제조업 외 2 종,051-327-8507,
3700,(주)한독크랭크,부산광역시 사하구 감천항로419번길 15 (구평동),부산광역시 사하구 구평동 477번지,선박 구성 부분품 제조업,051-416-0352,
3701,(주)한라바란싱산업,"부산광역시 사상구 새벽시장로 140 (감전동, 한라컴퓨터바란싱)",부산광역시 사상구 감전동 139-37번지,기타 가공 공작기계 제조업 외 10 종,051-316-8742,
3702,(주)한라씨앤씨,"부산광역시 사상구 광장로20번길 58-16, 1동 203호 (괘법동)",부산광역시 사상구 괘법동 568-5번지 1동 203호,방송장비 제조업,051-343-7775,
3703,(주)한라엔지니어링,부산광역시 강서구 미음산단3로 135 (미음동),부산광역시 강서구 미음동 792-2번지,배전반 및 전기 자동제어반 제조업,051-973-8510,
3704,(주)한라이비텍,부산광역시 사하구 다산로106번길 71 (다대동),부산광역시 사하구 다대동 1509-2번지,전자 응용 절삭기계 제조업,051-261-5910,
3705,(주)한라이비텍,부산광역시 사하구 다산로106번길 71 (다대동),부산광역시 사하구 다대동 1509-2번지,전자 응용 절삭기계 제조업,051-261-5910,
3706,(주)한라이비텍,"부산광역시 강서구 미음산단로92번길 16(구랑동, (주)한라이비텍)",부산광역시 강서구 구랑동 1194-3 (주)한라이비텍,전자 응용 절삭기계 제조업,051-261-5910,
3707,(주)한려엔쵸비,부산광역시 사하구 감천항로419번길 7(구평동),부산광역시 사하구 구평동 474,수산동물 냉동품 제조업 외 1 종,051-261-1501,
3708,(주)한림기업 ,,부산광역시 기장군 장안읍 반룡리 908-1,승강기 제조업,051-782-6923,
3709,(주)한림기업    ,부산광역시 기장군 장안읍 반룡산단1로 55,부산광역시 기장군 장안읍 반룡리 900-1번지,승강기 제조업,051-782-6923,
3710,(주)한림에스아이메,부산광역시 강서구 가리새1로25번길 24 (생곡동),부산광역시 강서구 생곡동 1578-2번지,기어 및 동력전달장치 제조업,,
3711,(주)한림에스아이엠,부산광역시 강서구 가리새1로25번길 24 (생곡동),부산광역시 강서구 생곡동 1578-2번지,기어 및 동력전달장치 제조업,051-263-0008,
3712,(주)한마음기공,부산광역시 강서구 미음동 0 번지 i20- 6,부산광역시 강서구 미음동 0 번지 i20- 6,"증류기, 열교환기 및 가스발생기 제조업",051-831-5211,
3713,(주)한미스태플,"부산광역시 강서구 녹산산업중로 293, (송정동,1606-3) (송정동)","부산광역시 강서구 송정동 1606-3번지 (송정동,1606-3)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-831-2222,
3714,(주)한미아큐패스트,부산광역시 강서구 녹산산업중로 293 (송정동),부산광역시 강서구 송정동 1606-3번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-831-2222,
3715,(주)한미유압기계,부산광역시 사상구 낙동대로1420번길 24 (삼락동),부산광역시 사상구 삼락동 343-6번지,유압기기 제조업,051-305-2511,
3716,(주)한보람산업,부산광역시 남구 조각공원로 32 (대연동),부산광역시 남구 대연동 607-30번지,금속 표시판 제조업,051-628-1598,
3717,(주)한빛이노텍,부산광역시 해운대구 삼어로133번나길 14(반여동),부산광역시 해운대구 반여동 1095-22,기기용 자동측정 및 제어장치 제조업 외 7 종,051-913-0120,
3718,(주)한빛이노텍,부산광역시 금정구 개좌로 263 (회동동) 비젼테크 A동 3층 301-1호,부산광역시 금정구 회동동 555-4 비젼테크  A동 3층 301-1호,방송장비 제조업 외 16 종,051-913-0120,
3719,(주)한빛파워,부산광역시 기장군 기장읍 대청로36번길 32,부산광역시 기장군 기장읍 대라리 175-2,"탭, 밸브 및 유사장치 제조업 외 5 종",051-724-3301,
3720,(주)한서마린엔지니어링,부산광역시 영도구 남항로16번길 22-5 (남항동2가),부산광역시 영도구 남항동2가 80-2번지,선박 구성 부분품 제조업,051-413-6275,
3721,(주)한서코지,부산광역시 기장군 정관읍 용수공단2길 10-3,부산광역시 기장군 정관읍 용수리 884,플라스틱 창호 제조업 외 2 종,051-724-6076,
3722,(주)한서하이드로,부산광역시 사하구 다대로 946 (다대동),부산광역시 사하구 다대동 1500-12번지,유압기기 제조업,051-264-0991,
3723,(주)한성공조산업,부산광역시 기장군 장안읍 명례산단4로 65-2,부산광역시 기장군 장안읍 장안리 692-10번지,구조용 금속 판제품 및 공작물 제조업 외 1 종,051-941-5538,
3724,(주)한성글로벌,부산광역시 강서구 미음동 207-18번지,부산광역시 강서구 미음동 207-18번지,선박 구성 부분품 제조업,051-325-6172,
3725,(주)한성밸브,부산광역시 강서구 미음산단로92번길 20 (구랑동),부산광역시 강서구 미음산단로92번길 20 (구랑동),"탭, 밸브 및 유사장치 제조업",051-831-6063,
3726,(주)한성스틸,부산광역시 강서구 녹산산업중로 429-7 (송정동),부산광역시 강서구 송정동 1677-5번지,그 외 기타 1차 철강 제조업 외 2 종,051-831-2520,
3727,(주)한성스틸,부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) 일반산업단지 I36블록 4놋트,부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) 일반산업단지 I36블록 4놋트,그 외 기타 1차 철강 제조업,051-831-2520,
3728,(주)한성아이넷,"부산광역시 금정구 중앙대로1841번길 45 (구서동, 한성빌딩(동은학원))",부산광역시 금정구 구서동 252-11번지,유선 통신장비 제조업,051-515-4541,
3729,(주)한성엔지니어링,부산광역시 강서구 녹산산단77로 19 (송정동),부산광역시 강서구 송정동 1493-11번지,수상 금속 골조 구조재 제조업 외 2 종,051-973-7020,
3730,(주)한성엠에스,부산광역시 강서구 미음산단로295번길 14 (미음동),부산광역시 강서구 미음동 1570-13번지,유압기기 제조업,051-266-1227,
3731,(주)한성엠에스,부산광역시 강서구 미음산단로295번길 14 (미음동),부산광역시 강서구 미음동 1570-13번지,그 외 기타 1차 철강 제조업,051-266-1227,
3732,(주)한성엠엔에스,부산광역시 강서구 미음동 0-0번지 국제산업물류도시(1단계) i-13B 7L,부산광역시 강서구 미음동 0-0번지 국제산업물류도시(1단계) i-13B 7L,육상 금속 골조 구조재 제조업 외 1 종,055-346-2130,
3733,(주)한성엠엔에스,부산광역시 강서구 미음국제4로 47 (미음동),부산광역시 강서구 미음동 207-7번지,육상 금속 골조 구조재 제조업 외 2 종,051-715-2130,
3734,(주)한성이즈텍,부산광역시 강서구 녹산산업중로 234 (송정동),부산광역시 강서구 송정동 1567-5번지,도금업,051-831-9502,
3735,(주)한성이즈텍,부산광역시 강서구 녹산산단261로31번길 28 (송정동),부산광역시 강서구 송정동 1569-19번지,도금업,051-831-9502,
3736,(주)한성이즈텍,부산광역시 강서구 녹산산단261로 37 (송정동),부산광역시 강서구 송정동 1569-11번지,도금업 외 1 종,051-831-9502,
3737,(주)한성전장부산공장,부산광역시 금정구 팔송로53번길 43 (남산동),부산광역시 금정구 남산동 974-34번지,자동차용 신품 동력전달장치 제조업 외 1 종,051-517-1199,
3738,(주)한성정공,부산광역시 사상구 감전동 124-52번지,부산광역시 사상구 감전동 124-52번지,금속 절삭기계 제조업,051-303-8656,
3739,(주)한성철강,부산광역시 강서구 녹산화전로 68 (송정동),부산광역시 강서구 송정동 1677-2번지,그 외 기타 1차 철강 제조업,051-831-1757,
3740,(주)한성철강,부산광역시 강서구 녹산화전로 62 (송정동),부산광역시 강서구 송정동 1677-4번지,그 외 기타 1차 철강 제조업,051-831-1757,
3741,(주)한성테크,부산광역시 사상구 낙동대로1348번길 73 (삼락동),부산광역시 사상구 삼락동 389-11번지,고무패킹류 제조업 외 5 종,051-319-2211,
3742,(주)한세기전,부산광역시 강서구 공작길 64 (강동동),부산광역시 강서구 강동동 3160번지,배전반 및 전기 자동제어반 제조업 외 26 종,051-507-7803,
3743,(주)한스쉽핑,"부산광역시 영도구 해양로117번길 2 (청학동, (주)한스쉽핑)",부산광역시 영도구 청학동 1-92번지,선박 구성 부분품 제조업,051-418-4712,
3744,(주)한스콤정보통신,부산광역시 동래구 여고북로 56 (사직동),부산광역시 동래구 사직동  358-6번지,유선 통신장비 제조업 외 3 종,051-507-0364,
3745,(주)한신공기,부산광역시 사상구 낙동대로 1022 (감전동),부산광역시 사상구 감전동 168-11번지,그 외 기타 특수목적용 기계 제조업 외 1 종,051-316-7171,
3746,(주)한신기계,부산광역시 부산진구 전포대로 232-1 (전포동),부산광역시 부산진구 전포동 207-68번지,기체 펌프 및 압축기 제조업,051-802-5740,
3747,(주)한신비철금속,부산광역시 사상구 감전천로 86 (학장동),부산광역시 사상구 학장동 748-13번지,일반철물 제조업,051-323-8295,
3748,(주)한신인더스,부산광역시 강서구 미음산단로8번길 93 (구랑동),부산광역시 강서구 구랑동 1192-1번지,절삭가공 및 유사처리업,051-832-1097,
3749,(주)한신인더스,부산광역시 강서구 범방2로9번길 16 (범방동),부산광역시 강서구 범방동 1910-2번지,절삭가공 및 유사처리업,051-832-1059,
3750,(주)한신인더스,부산광역시 강서구 녹산산업북로 54 (송정동),부산광역시 강서구 송정동 1502-4번지,절삭가공 및 유사처리업,051-831-1059,
3751,(주)한신철강,"부산광역시 사상구 새벽로 68(학장동, (주)한신철강)",부산광역시 사상구 학장동 227-26 (주)한신철강,그 외 기타 금속가공업,051-328-7831,
3752,(주)한신코리아,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",부산광역시 강서구 송정동 1735-1번지,신발 부분품 제조업,051-831-3355,
3753,(주)한신코리아,부산광역시 강서구 녹산산단27로 105-14 (송정동),부산광역시 강서구 송정동 1466-1번지,신발 부분품 제조업,051-831-3355,
3754,(주)한앤컴퍼니,부산광역시 강서구 과학산단2로19번길 32 (지사동),부산광역시 강서구 지사동 1178-5번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-831-0707,
3755,(주)한양공업,"부산광역시 기장군 장안읍 장안산단9로 74 (장안읍, (주)한양공업)",부산광역시 기장군 장안읍 반룡리 841-2번지 (주)한양공업,기어 및 동력전달장치 제조업 외 4 종,051-321-0005,
3756,(주)한양이알,부산광역시 서구 까치고개로245번길 17-11 (토성동1가),부산광역시 서구 토성동1가 13-9번지,배전반 및 전기 자동제어반 제조업,051-256-2233,
3757,(주)한양이알,부산광역시 영도구 해양로65번길 26-12(청학동),부산광역시 영도구 청학동 217-88,선박 구성 부분품 제조업,051-256-2233,
3758,(주)한엑스,부산광역시 강서구 녹산산단381로 29 (송정동),부산광역시 강서구 송정동 1635-2번지,그 외 자동차용 신품 부품 제조업 외 4 종,051-831-4679,
3759,(주)한영선기,부산광역시 강서구 미음국제4로 63 (미음동),부산광역시 강서구 미음동 207-14번지,선박 구성 부분품 제조업,051-941-3237,
3760,(주)한영식품,부산광역시 기장군 정관읍 매곡길 51,부산광역시 기장군 정관읍 매학리 168-14번지,수산식물 가공 및 저장 처리업,,
3761,(주)한올페이,"부산광역시 강서구 과학산단1로60번길 31, B동 2층 210 (지사동)",부산광역시 강서구 지사동 1276번지 B동 2층 210,"전자코일, 변성기 및 기타 전자 유도자 제조업",051-941-9983,
3762,(주)한일,부산광역시 사상구 사상로433번길 70 (모라동),부산광역시 사상구 모라동 713-13번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",,
3763,(주)한일경판,부산광역시 강서구 녹산산업중로 45 (송정동),부산광역시 강서구 송정동 1474-4번지,자동차용 금속 압형제품 제조업 외 1 종,051-831-9970,
3764,(주)한일경판,부산광역시 강서구 미음산단4로 10 (미음동),부산광역시 강서구 미음동 1551-11번지,자동차용 금속 압형제품 제조업 외 1 종,051-831-9970,
3765,(주)한일미디어,"부산광역시 동래구 아시아드대로255번가길 8-9, 상가동 101호, 제비1호 (온천동, 한사랑아파트)","부산광역시 동래구 온천동 1350번지 한사랑아파트 상가동 101호, 제비1호",기타 음향기기 제조업 외 7 종,051-505-6500,
3766,(주)한일씨엔에스,"부산광역시 수영구 수미로13번길 3 (망미동, 한일씨엔에스)",부산광역시 수영구 망미동 396-22번지,침구 및 관련제품 제조업 외 2 종,051-756-5151,
3767,(주)한일정공,부산광역시 강서구 과학산단1로 8 (지사동),부산광역시 강서구 지사동 1202-2번지,자동차 차체용 신품 부품 제조업 외 4 종,051-330-0700,
3768,(주)한일정공,부산광역시 강서구 미음동 0 번지 I30 3놋트,부산광역시 강서구 미음동 0 번지 I30 3놋트,건설 및 채광용 기계장비 제조업 외 4 종,,
3769,(주)한일정공,부산광역시 강서구 가리새2로13번길 26 (생곡동),부산광역시 강서구 생곡동 1584-3번지,건설 및 채광용 기계장비 제조업 외 5 종,051-330-0700,
3770,(주)한일특수휠타,부산광역시 금정구 청룡예전로 108 (청룡동),부산광역시 금정구 청룡동 359-8번지,기체 여과기 제조업 외 1 종,051-508-8800,
3771,(주)한조,부산광역시 영도구 남항서로 20 (남항동3가) 외 1필지,부산광역시 영도구 남항동3가 141-127번지 외 1필지,기체 여과기 제조업 외 8 종,051-414-7201,
3772,(주)한주기획,부산광역시 수영구 좌수영로210번길 50 (망미동),부산광역시 수영구 망미동 1092-1번지,구조용 금속 판제품 및 공작물 제조업 외 4 종,051-507-0871,
3773,(주)한주에이피에스(제2공장),부산광역시 기장군 정관읍 용수공단2길 10-3,부산광역시 기장군 정관읍 용수리 884번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",051-508-6073,
3774,(주)한지,"부산광역시 사상구 새벽시장로 146 (감전동, (주)한지)",부산광역시 사상구 감전동 139-33번지,자동차 차체용 신품 부품 제조업 외 2 종,051-325-9021,
3775,(주)한진식품,부산광역시 사하구 두송로 277(구평동),부산광역시 사하구 구평동 297,과자류 및 코코아 제품 제조업,051-261-9944,
3776,(주)한진식품,부산광역시 사하구 장림번영로 88-3 (장림동),부산광역시 사하구 장림동 340-10번지,수산동물 건조 및 염장품 제조업,051-261-9944,
3777,(주)한진실업,"부산광역시 사상구 낙동대로988번길 31 (감전동, 한진실업(주))",부산광역시 사상구 감전동 948-6번지,구두류 제조업 외 3 종,051-313-6700,
3778,(주)한진중공업 부산수리공장,부산광역시 남구 감만동 588-3번지,부산광역시 남구 감만동 588-3번지,기타 선박 건조업,051-647-0767,
3779,(주)한탑,부산광역시 남구 용소로 101 (대연동),부산광역시 남구 대연동430-2번지,곡물 제분업,051-626-2841,
3780,(주)한텍테크놀로지 장안지점,부산광역시 기장군 장안읍 장안산단9로 90,부산광역시 기장군 장안읍 반룡리 841-3번지,그 외 자동차용 신품 부품 제조업 외 3 종,052-270-3700,
3781,(주)한하산업 ,부산광역시 기장군 정관읍 산단3로 101-4,부산광역시 기장군 정관읍 달산리 1072-8번지,액체 여과기 제조업 외 28 종,051-612-1159,
3782,(주)한학코리아,부산광역시 강서구 영강길 72 (명지동),부산광역시 강서구 명지동 1446번지,농업 및 임업용 기계 제조업 외 2 종,051-971-5505,
3783,(주)한화,"부산광역시 사상구 새벽시장로 17 (감전동, (주)한화)",부산광역시 사상구 감전동 127-8번지,금속 단조제품 제조업,051-320-6254,
3784,(주)한희씨푸드,"부산광역시 서구 원양로 1, B동 2층 201호(암남동, 수산가공선진화단지)",부산광역시 서구 암남동 762 수산가공선진화단지 B동 2층 201호,기타 수산동물 가공 및 저장 처리업 외 1 종,051-243-8833,
3785,(주)항도에스티,"부산광역시 강서구 미음국제4로 50, 미음동 207-11 (미음동)",부산광역시 강서구 미음동 206-6번지 미음동 207-11,육상 금속 골조 구조재 제조업,051-831-4916,
3786,(주)해광지오메트,부산광역시 강서구 화전산단2로133번길 29 (화전동),부산광역시 강서구 화전동 585-8번지,그 외 기타 금속가공업,051-831-9611,
3787,(주)해광테크,부산광역시 강서구 녹산산업북로 7 (송정동),부산광역시 강서구 송정동 1489-6번지,구조용 금속 판제품 및 공작물 제조업 외 19 종,051-831-7581,
3788,(주)해금광고,"부산광역시 사상구 사상로 375 (덕포동, 오피스프라자)",부산광역시 사상구 덕포동 369-9번지,간판 및 광고물 제조업 외 1 종,051-302-7171,
3789,(주)해금이엔지,부산광역시 영도구 봉래나루로 134 (봉래동1가),부산광역시 영도구 봉래동1가 205번지,선박 구성 부분품 제조업,051-414-8401,
3790,(주)해금인테리어,부산광역시 사상구 사상로 375 (덕포동),부산광역시 사상구 덕포동 369-9번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",051-305-1133,
3791,(주)해담푸드,부산광역시 기장군 정관읍 산단3로 101-31,부산광역시 기장군 정관읍 달산리 1077-4번지,김치류 제조업,051-728-6790,
3792,(주)해동실업,"부산광역시 강서구 과학산단1로60번길 31, 기계장비동 301호(지사동, 부산테크노파크) 기계장비동 301호",부산광역시 강서구 지사동 1276 부산테크노파크 기계장비동 301호  기계장비동 301호,구조용 금속 판제품 및 공작물 제조업 외 3 종,051-714-7274,
3793,(주)해동전자,부산광역시 강서구 제도로 1187-2 (강동동),부산광역시 강서구 강동동 82-19번지,그 외 자동차용 신품 부품 제조업 외 3 종,,
3794,(주)해동테크,"부산광역시 강서구 과학산단1로60번길 30, 자동차센터 212호 (지사동)",부산광역시 강서구 지사동 1274번지 자동차센터 212호,배전반 및 전기 자동제어반 제조업,,
3795,(주)해리아나,부산광역시 강서구 화전산단2로 73 (화전동),부산광역시 강서구 화전동 583-23 번지,그 외 기타 특수목적용 기계 제조업 외 2 종,051-313-6690,
3796,(주)해림파메틱,"부산광역시 강서구 과학산단1로60번길 31, POST-BI동 2층 209 (지사동)",부산광역시 강서구 지사동 1276번지 POST-BI동 2층 209,그 외 기타 분류 안된 화학제품 제조업 외 1 종,051-999-6901,
3797,(주)해림푸드시스템,"부산광역시 금정구 반송로490번길 14, 1층 (금사동)",부산광역시 금정구 금사동 116-5번지 1층,도시락류 제조업 외 2 종,051-731-1346,
3798,(주)해민중공업,부산광역시 강서구 녹산산업중로 29 (송정동),부산광역시 강서구 송정동 1460-4번지,기타 선박 건조업 외 1 종,051-266-7968,
3799,(주)해성마린토탈서비스,"부산광역시 영도구 해양로 33-26, 1,2층 (청학동) (청학동, 진성엔지니어링 공장)","부산광역시 영도구 청학동 330-139번지 진성엔지니어링 공장 1,2층 (청학동)",선박 구성 부분품 제조업,051-418-0315,
3800,(주)해성시스템,부산광역시 강서구 평강로229번가길 23 (대저1동),부산광역시 강서구 대저1동 1770번지,배전반 및 전기 자동제어반 제조업,051-902-1033,
3801,(주)해성이엔티,부산광역시 강서구 미음산단1로15번길 39 (구랑동),부산광역시 강서구 구랑동 1226-2번지,"탭, 밸브 및 유사장치 제조업",051-974-1388,
3802,(주)해성철강산업,부산광역시 강서구 대부길 83 (강동동),부산광역시 강서구 강동동 3700-12번지,그 외 기타 1차 철강 제조업,051-972-4607,
3803,(주)해성피팅,부산광역시 강서구 가락대로1182번길 136 (봉림동),부산광역시 강서구 봉림동 738-2813번지,강관 제조업 외 1 종,051-303-0258,
3804,(주)해송에프엔지,"부산광역시 서구 원양로 1, B동 6층 603 (암남동, 수산가공선진화단지)",부산광역시 서구 암남동 762번지 수산가공선진화단지 B동 6층 603,수산동물 건조 및 염장품 제조업 외 1 종,051-231-1077,
3805,(주)해승정공,"부산광역시 남구 신선로 365, 부경대 창업보육센터 509 (용당동)",부산광역시 남구 용당동 산 100번지 부경대 창업보육센터 509동,"기타 섬유, 의복 및 가죽 가공 기계 제조업",,
3806,(주)해양무선,부산광역시 영도구 남항서로82번길 70 (남항동3가),부산광역시 영도구 남항동3가 105-17번지,기타 무선 통신장비 제조업,051-413-6113,
3807,(주)해양패밀리,부산광역시 강서구 녹산산단361로 39 (송정동),부산광역시 강서구 송정동 1629-6번지,도장 및 기타 피막처리업,051-831-3550,
3808,(주)해오름바이오,부산광역시 기장군 일광면 일광로 495,부산광역시 기장군 일광면 동백리 197-1번지,수산식물 가공 및 저장 처리업,051-727-6700,
3809,(주)해우기술,"부산광역시 강서구 과학산단1로60번길 30, 부산테크노파크 지사단지 8동, 3층(지사동)","부산광역시 강서구 지사동 1274 부산테크노파크 지사단지 8동, 3층",방사선 장치 제조업 외 4 종,,
3810,(주)해우선기,"부산광역시 동구 자성로140번길 43 (범일동, 해우창고)",부산광역시 동구 범일동 825-42번지,선박 구성 부분품 제조업,051-631-8117,
3811,(주)해운산전,부산광역시 강서구 평강로229번길 31(대저1동),부산광역시 강서구 대저1동 3637-9,배전반 및 전기 자동제어반 제조업 외 1 종,051-972-4984,
3812,(주)해울이엔지,부산광역시 강서구 대저동서로229번길 25 (대저2동),부산광역시 강서구 대저2동 1257-2,기타 전기 변환장치 제조업 외 2 종,051-972-0670,
3813,(주)해원,부산광역시 사하구 두송로 232 (구평동),부산광역시 사하구 구평동 317-1번지,기타 목재가구 제조업,051-264-6245,
3814,(주)해원,부산광역시 강서구 화전산단6로 120 (화전동),부산광역시 강서구 화전동 584-16 번지,철도차량 부품 및 관련 장치물 제조업 외 1 종,051-312-2161,
3815,(주)해원기술,부산광역시 기장군 장안읍 장안산단2로 17,부산광역시 기장군 장안읍 반룡리 829-3번지,전자 응용 절삭기계 제조업 외 46 종,051-727-8703,
3816,(주)해은산업,부산광역시 강서구 녹산산업중로168번길 9 (송정동),부산광역시 강서구 송정동 1532-2번지,도장 및 기타 피막처리업,051-971-3346,
3817,(주)해인정보통신,"부산광역시 부산진구 냉정로 271, 4층(가야동)",부산광역시 부산진구 가야동 596-4 4층,교통 신호장치 제조업,051-892-4200,
3818,(주)해인푸드,"부산광역시 사상구 낙동대로 809-51, C동 (엄궁동)",부산광역시 사상구 엄궁동 556-6번지 C동,가금류 가공 및 저장 처리업,051-315-6522,
3819,(주)해전쏠라,부산광역시 사상구 새벽로 132 (감전동),부산광역시 사상구 감전동 153-22번지,육상 금속 골조 구조재 제조업 외 2 종,051-941-6588,
3820,(주)해주  ,부산광역시 기장군 장안읍 장안산단1로 60,부산광역시 기장군 장안읍 반룡리 830-2번지,주형 및 금형 제조업,,
3821,(주)해중,"부산광역시 사상구 대동로 303, 벽산디지털벨리 1012호 (감전동)",부산광역시 사상구 감전동 132-7번지 벽산디지털벨리 1012호,정형 내화 요업제품 제조업 외 2 종,051-329-7600,
