회사명,전화번호,팩스번호,공장대표주소,업종명,생산품,대표명,데이터기준일자
영농조합법인안동엿기름(푸른들농산),054-821-1600,,경상북도 안동시 거북골길 151 (정상동) 외 2필지,기타 식품 첨가물 제조업 외 1 종,"누룩,메주콩,엿기름, 새싹보리분말, 보리차, 옥수수차",권오권,2021-09-02
예선아빠농장 안동원액생강청 가공공장,054-853-4687,,경상북도 안동시 서후면 봉정사길 103-5,차류 가공업,안동원액생강청,권상열,2021-09-02
와우식품,054-857-7336,,경상북도 안동시 서후면 생명의콩길 258,장류 제조업,된장,권관용,2021-09-02
우성전자Co,054-823-1120,,경상북도 안동시 남선면 농공단지길 44,농업 및 임업용 기계 제조업,전기건조기,이경임,2021-09-02
웅도,054-853-9410,054-855-9410,경상북도 안동시 풍산읍 양광길 121 (총 2 필지) 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,교량구조물,이병섭외5명,2021-09-02
원목산업씽크공장,054-857-5782,054-854-2697,경상북도 안동시 서후면 명리 495-13번지,금속 위생용품 제조업,씽크대,김정국,2021-09-02
원풍벽돌,054-858-6183,054-858-6183,경상북도 안동시 강남로 99-13 (수상동),"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌,블록",변용구,2021-09-02
월드씽크공장,,,경상북도 안동시 이천동 539-1번지,주방용 및 음식점용 목재가구 제조업 외 1 종,주방용 및 음식점용 목재가구,강문희,2021-09-02
월성설비(주),054-854-8504,054-853-8506,"경상북도 안동시 풍산읍 석교길 31-4, (노리 40-5)",그 외 기타 특수목적용 기계 제조업 외 2 종,"무대기계,커튼,롤업셰이드",이수진,2021-09-02
윈그로,054-843-3456,054-843-3455,경상북도 안동시 풍산읍 단지길 7-3,복합비료 및 기타 화학비료 제조업,제4종복합비료,우상하,2021-09-02
유은복지재단 나눔공동체,054-858-9956,054-858-9984,경상북도 안동시 남선면 지골길 18 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업,혼합 샐러드,이종만,2021-09-02
유창임업사,054-858-7841,054-858-7842,경상북도 안동시 강남로 36 (수상동),일반 제재업,목재(각재),"김오식,김용수",2021-09-02
유한회사 우성건설,054-842-6502,053-314-1088,"경상북도 안동시 풍산읍 금당길 152-16, (제2호)",그 외 기타 분류 안된 비금속 광물제품 제조업,"미끄럼방지 포장재, 도막형 바닥재",우주희,2021-09-02
유한회사 청용산업,054-856-0015,,경상북도 안동시 배고개길 95 (수하동),비금속광물 분쇄물 생산업,"모래, 자갈",권순원,2021-09-02
일산산업,054-859-7900,054-859-6766,경상북도 안동시 앙실로 367 (수하동),섬유제품 기타 정리 및 마무리 가공업 외 1 종,표백가공,황기봉,2021-09-02
일신테크,054-859-0225,054-859-8225,경상북도 안동시 강남로 56-10 (수상동),"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","배전함, 강제창호","김명주,정석율",2021-09-02
임하정미소푸레쌀작목반,054-822-7327,,경상북도 안동시 임하면 임하중마길 71,곡물 도정업,"백미,현미",권기범,2021-09-02
자원산업사,054-858-1259,054-853-1259,경상북도 안동시 건지기길 14-35 (수상동),운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 플라스틱 부품(DUCT류),이대원,2021-09-02
정완B-F,054-821-4871,054-821-4877,"경상북도 안동시 풍산읍 괴정2길 106-15, 502동, 503동",복합비료 및 기타 화학비료 제조업,미량요소복합비료,김도현,2021-09-02
조근호,,,경상북도 안동시 풍산읍 괴정리 132번지,골판지 상자 및 가공제품 제조업,골판지 상자,조근호,2021-09-02
조은식품영농조합법인,,054-854-6870,경상북도 안동시 북후면 물한길 26 외 2필지,기타 곡물 가공품 제조업,조청,신은경,2021-09-02
주식회사 기술과창조,054-211-2299,054-211-2298,경상북도 안동시 공단로 48 (수상동),배합 사료 제조업 외 5 종,"보조사료, 토양개량제, 탈취제, 미생물종균배양",서명수,2021-09-02
주식회사 니껴바이오 농업회사법인,054-859-2224,054-843-2224,경상북도 안동시 남선면 검정길 30,장류 제조업,청국장,김영배,2021-09-02
주식회사 니껴바이오 농업회사법인 제2공장,054-859-2224,054-843-2224,경상북도 안동시 남선면 원림리 306-1번지,장류 제조업,"나또, 청국장",김영배,2021-09-02
주식회사 동원석재,054-841-6073,054-841-6533,경상북도 안동시 서후면 경북대로 1071-29,건설용 석제품 제조업,건축용 석제품,권기환,2021-09-02
주식회사 드론코리아 아카데미,054-822-8284,054-822-9986,경상북도 안동시 솔밭길 226 (옥동) 외 1필지,무인 항공기 및 무인 비행장치 제조업 외 1 종,"드론,교육용 드론부품",장명동,2021-09-02
주식회사 씨티에스,054-853-7400,053-791-1399,경상북도 안동시 경북대로 649-23 (송현동),유선 통신장비 제조업 외 5 종,"영상/음향 기기, CCTV시스템, 표식장비",김만년,2021-09-02
주식회사 어썸푸드,054-857-2828,050-4262-5201,경상북도 안동시 서후면 이송천길 288,가금류 가공 및 저장 처리업,안동찜닭,권순환,2021-09-02
주식회사 에이치씨보광콘크리트,054-858-5399,054-858-5398,경상북도 안동시 풍산읍 경서로 4380-59 (총 2 필지) 외 1필지,레미콘 제조업,레미콘,박정운,2021-09-02
주식회사 엠텍,054-823-6667,054-823-6668,"경상북도 안동시 중들길 65, 102호,103호 (용상동, 경동아파트)",단미 사료 및 기타 사료 제조업,보조사료,김범수,2021-09-02
주식회사 제이에스판넬,054-854-6670,054-854-6672,경상북도 안동시 풍산읍 풍산태사로 702,기타 구조용 금속제품 제조업,샌드위치판넬,성숙열,2021-09-02
주식회사 제이오푸드,054-843-9293,054-843-0559,경상북도 안동시 일직면 풍일로 2340,육류 기타 가공 및 저장처리업 (가금류 제외),양념육,권여정,2021-09-02
주식회사 창성공조기전,054-853-3600,054-853-0990,"경상북도 안동시 경북대로 609, 송현동 461번지 (송현동)",그 외 기타 특수목적용 기계 제조업,무대기계,천성용,2021-09-02
주식회사 태호,,,경상북도 안동시 영가로 19 (동부동) 5층,벽 및 바닥 피복용 플라스틱제품 제조업 외 2 종,교통시설물( LED 안전유도블럭),윤태호,2021-09-02
주식회사 포드림,054-823-2119,054-823-8119,경상북도 안동시 안막동 527-4번지,방송장비 제조업,영상저장장치(NVS),김원국,2021-09-02
주식회사 한옥기와지붕조명,054-856-5555,054-859-7200,경상북도 안동시 바람이길 145-38 (정하동) 제3동,일반용 전기 조명장치 제조업 외 1 종,LED경관조명/LED전광판,"김정대, 백숙",2021-09-02
진성씽크 주식회사,,,경상북도 안동시 풍산읍 교리운곡길 29,주방용 및 음식점용 목재가구 제조업 외 1 종,"씽크대, 가구",김정화,2021-09-02
참사랑보호작업장,054-858-8627,054-858-1979,경상북도 안동시 북후면 광평2길 106-25,곡물 도정업,"쌀, 잡곡",류봉기,2021-09-02
창신건설기계정비,,,경상북도 안동시 모래골1길 5-11 (송현동) (총 3 필지),건설 및 채광용 기계장비 제조업,건설기계부품,김승호,2021-09-02
커피의 연금술사 팩토리,,,"경상북도 안동시 맑은샘길 37, D동 101호 (운흥동)",커피 가공업,"커피원두, 더치커피, 커피조청, 기타 커피 부산물을 이용한 상품들",최선용,2021-09-02
커피킹덤 제1공장,054-853-0207,054-852-0208,경상북도 안동시 경북대로 649-20 (송현동),커피 가공업,볶은 커피,김한동,2021-09-02
통일식품,054-858-7170,054-858-8910,경상북도 안동시 마지1길 24 (수상동),두부 및 유사식품 제조업,두부,김성애,2021-09-02
푸른들농산(주),054-841-9340,054-859-7611,경상북도 안동시 남선면 놉실로 194,곡물 제분업,"엿질금,미숫기루,옥수수차,곡차",허윤태,2021-09-02
풍산수산,054-843-2443,054-843-2444,경상북도 안동시 일직면 운산리 182번지 외 1필지,수산동물 건조 및 염장품 제조업,간고등어,권동순,2021-09-02
하나농산,054-852-8588,054-857-8288,경상북도 안동시 와룡면 서동골길 25,천연 및 혼합조제 조미료 제조업,고추가루,채종원,2021-09-02
하회반가 영농조합법인(2공장),054-842-2255,054-842-2256,경상북도 안동시 풍천면 하회리 163번지,장류 제조업,된장,유탁,2021-09-02
학산영농조합법인 안동양반장류가공공장,054-856-5631,,경상북도 안동시 와룡면 가장실길 53,장류 제조업,"된장, 고추장, 간장, 메주",박정숙,2021-09-02
한양제과(주),031-868-5200,,경상북도 안동시 풍산읍 유통단지길 124-31 외 1필지,과자류 및 코코아 제품 제조업,캔디류,이중락,2021-09-02
한일(주) 안동공장,054-823-6110,054-823-6112,경상북도 안동시 임하면 충효로 3337-15,레미콘 제조업 외 3 종,"레미콘,블록,식생매트,수로관",김춘옥,2021-09-02
헴프온,054-843-1776,054-843-1775,경상북도 안동시 풍산읍 신석현1길 16,식물성 유지 제조업,"헴프씨드, 헴프오일",천병용,2021-09-02
현대콘테이너,054-853-5500,,경상북도 안동시 풍산읍 상리길 39 외 1필지,기타 구조용 금속제품 제조업,컨테이너,권세택,2021-09-02
형제건업,054-858-7987,054-859-2311,경상북도 안동시 먼달길 41 (정하동),"금속 문, 창, 셔터 및 관련제품 제조업","창호,금속문",권용국,2021-09-02
환성정미소,054-858-6012,054-858-6012,경상북도 안동시 풍산읍 안교리 497-3번지,곡물 도정업,"쌀,보리압맥",임종명,2021-09-02
황학농산,,,경상북도 안동시 길안면 만음백자길 487 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,"버섯, 가공사과",정하성,2021-09-02
흥광하이테크,054-856-4663,054-856-4662,경상북도 안동시 서후면 경북대로 957-14 외 1필지,그 외 기타 일반목적용 기계 제조업 외 2 종,"살균수 제조기, 공기정화용 오존발생기, 음식물 처리기",이원근,2021-09-02
(재)경북바이오산업연구원,054-850-6901,054-823-5901,경상북도 안동시 풍산읍 산업단지2길 5 외 2필지,건강기능식품 제조업 외 3 종,"건강기능식품, 일반식품, 음료",(재)경북바이오산업연구원장,2021-09-02
(재)백신글로벌산업화기반구축사업단 동물세포실증지원센터,054-842-6400,054-842-4609,경상북도 안동시 풍산읍 괴정리 1018번지 외 4필지,생물학적 제제 제조업,생물학적제제(백신 등),장양석,2021-09-02
(재)한국천연색소산업화센터,054-850-0100,054-850-0199,경상북도 안동시 풍산읍 산업단지2길 31 외 1필지,기타 식품 첨가물 제조업 외 1 종,"추출액/농축액, 농축분말, 액상차",김형동,2021-09-02
(주)두일,054-805-7300,031-768-3356,경상북도 안동시 풍산읍 산업단지5길 32,포장용 플라스틱 성형용기 제조업,포장용 풀라스틱 제품,강문규,2021-09-02
(주)신화콘크리트,054-859-7718,054-859-7728,경상북도 안동시 풍산읍 괴정리 1015 번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",콘크리트 블록,조임숙,2021-09-02
(주)에이프로에스앤씨,032-777-8818,032-777-8815,경상북도 안동시 풍산읍 괴정리 1012번지 외 1필지 외 1필지,"증류기, 열교환기 및 가스발생기 제조업 외 1 종","니켈합금강, 스테인리스튜브, 탄소강 파이프",권오준,2021-09-02
(주)웰츄럴바이오,054-975-0064,054-974-7630,경상북도 안동시 풍산읍 매곡리 1124번지 외 1필지,기타 곡물 가공품 제조업,"효소,선식,미숫가루",김영환,2021-09-02
(주)주원정공 제1공장,054-822-7171,054-822-6782,경상북도 안동시 풍산읍 괴정리 988 번지,음ㆍ식료품 및 담배 가공기계 제조업 외 5 종,"주방기구, 음수대 등",정연미,2021-09-02
(주)태산물산,054-854-1863,054-854-1864,경상북도 안동시 풍산읍 산업단지5길 46,천연 및 혼합조제 조미료 제조업,고춧가루,박창호,2021-09-02
YMF,054-854-7401,054-854-7404,경상북도 안동시 풍산읍 괴정리 1016번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종","멸치액젓, 액체육젓, 까니리액젓 등",권혁,2021-09-02
넨시스(주),031-225-4342,031-234-9162,경상북도 안동시 풍산읍 매곡리 1132번지,생물학적 제제 제조업,판크레아틴장용과립 외,박근환,2021-09-02
농업회사법인 온샘(주),054-855-8201,054-855-8208,경상북도 안동시 풍산읍 산업단지2길 15,곡물 제분업,"참마분말, 생강분말",김진억,2021-09-02
농업회사법인 주식회사 회곡양조장,054-853-7777,054-852-1111,경상북도 안동시 풍산읍 산업단지5길 39,탁주 및 약주 제조업 외 3 종,막걸리,권용복,2021-09-02
대기영농조합법인,054-841-0002,054-841-8411,경상북도 안동시 풍산읍 산업단지길 105,기타 과실ㆍ채소 가공 및 저장 처리업,깐마늘,이상엽,2021-09-02
명인안동소주,054-856-6903,054-856-6909,경상북도 안동시 풍산읍 산업단지6길 6,소주 제조업,증류식소주,박재서,2021-09-02
서안동농협풍산김치공장,054-858-8232,054-858-7130,경상북도 안동시 풍산읍 괴정리 1003번지 외 2필지 외 2필지 외 2필지,김치류 제조업 외 2 종,"풍산김치,깍두기,파김치등",남시호,2021-09-02
안동yes푸드,054-856-2256,054-856-2254,경상북도 안동시 풍산읍 산업단지2길 55,가금류 가공 및 저장 처리업 외 4 종,"편육, 닭발, 찜닭, 닭곰탕, 콜라겐",이규찬,2021-09-02
에스케이바이오사이언스(주),054-902-4805,054-902-4900,경상북도 안동시 풍산읍 산업단지길 150,생물학적 제제 제조업,"백신의약품(인플루엔자, 대상포진)",안재용,2021-09-02
에스케이플라즈마(주),02-2008-2913,02-2008-2819,경상북도 안동시 풍산읍 산업단지길 157 외 3필지,생물학적 제제 제조업 외 2 종,"알부민, 면역글로불린",김윤호,2021-09-02
일구물산(주),054-854-2067,054-854-2068,산업단지5길 46,천연 및 혼합조제 조미료 제조업,고춧가루,전현진,2021-09-02
주식회사 영동농기계,054-821-2583,054-821-3831,경상북도 안동시 풍산읍 산업단지6길 56,농업 및 임업용 기계 제조업,"건조기,파종기",김이한,2021-09-02
하회마을간고등어(주),054-857-8977,054-857-8978,경상북도 안동시 풍산읍 산업단지길 217,수산동물 건조 및 염장품 제조업 외 1 종,간고등어 ,김상연,2021-09-02
한국가스공사,053-589-0571,053-859-0564,경상북도 안동시 풍산읍 산업단지1길 48-7,연료용 가스 제조 및 배관공급업,전기가스,주강수,2021-09-02
한국남부발전(주),070-7713-7035,,경상북도 안동시 풍산읍 산업단지1길 38 외 9필지,화력 발전업,전기,윤종근,2021-09-02
안동전통발효,054-841-0070,054-842-0444,경상북도 안동시 풍산읍 산업단지7길 29,기타 식품 첨가물 제조업,누룩 외 양조용가공 원료,"권용복, 이원대",2021-09-02
농업회사법인(주)삼앤삶,054-636-3822,054-636-3830,"경상북도 안동시 풍산읍 산업단지길 88, 303호 (바이오벤처프라자) 외 1필지",인삼식품 제조업,인삼식품,조성용,2021-09-02
(주)케일,070-4645-3700,3039543300,"경상북도 안동시 풍산읍 산업단지길 88, 304호 (경북바이오벤처프라자)",그 외 기타 식료품 제조업,"테네브리오밀웜박, 건조밀웜",김용욱,2021-09-02
(주)경북파이프산업,054-823-5111,054-859-4211,경상북도 안동시 남선면 농공단지길 35,"플라스틱 선, 봉, 관 및 호스 제조업","PE이중관,삼중관",임채련,2021-09-02
(주)삼정산업,054-822-2796,054-822-2797,경상북도 안동시 남선면 농공단지길 14-9 외 1필지,"플라스틱 선, 봉, 관 및 호스 제조업",일반용폴리에틸렌이음관,김정숙,2021-09-02
(주)안동철망,054-823-8100,054-823-8101,경상북도 안동시 남선면 농공단지길 39,금속선 가공제품 제조업,"돌망태,용접철망",박희대,2021-09-02
(주)이앤에스,054-853-1233,,경상북도 안동시 남선면 농공단지길 14-9,구조용 금속 판제품 및 공작물 제조업,흡음천장재 등,김춘옥,2021-09-02
(주)케이아이디,02-712-1001,,경상북도 안동시 남선면 농공단지길 17,목재 도구 및 주방용 나무제품 제조업,당구대,강문호,2021-09-02
(주)한남,054-821-3490,054-822-0147,경상북도 안동시 남선면 농공단지길 16,간판 및 광고물 제조업 외 4 종,"안내간판,미끄럼방지,포장재,",권민재,2021-09-02
대성골재(주) 아스콘지점,054-858-6377,054-857-2469,경상북도 안동시 남선면 농공단지길 32,아스팔트 콘크리트 및 혼합제품 제조업,"아스콘, 재생아스콘",장영수,2021-09-02
동영기업,054-822-5954,054-822-5955,경상북도 안동시 남선면 농공단지길 33-6,그 외 기타 나무제품 제조업 외 1 종,목관,박현신,2021-09-02
영농상사,054-822-0051,054-822-0053,경상북도 안동시 남선면 농공단지길 16-1,복합비료 및 기타 화학비료 제조업,복합비료,이학형,2021-09-02
퍼팩트안동파이프(주),054-822-7790,054-822-7791,경상북도 안동시 남선면 농공단지길 14-9,"플라스틱 선, 봉, 관 및 호스 제조업",PE관,김용희,2021-09-02
한국벨트산업(주),054-821-3223,054-821-3224,경상북도 안동시 남선면 농공단지길 18,고무패킹류 제조업 외 2 종,산업용 벨트,권오훈,2021-09-02
현대아스콘주식회사,054-822-7878,054-822-7876,경상북도 안동시 남선면 농공단지길 17,아스팔트 콘크리트 및 혼합제품 제조업,"아스콘, 재생아스콘",차오석,2021-09-02
(주)누리정보기술,054-842-1003,054-854-9007,경상북도 안동시 남후면 농공길 37-9,방송장비 제조업 외 3 종,"CCTV,방송장비(스피커),LED전광판",김승규,2021-09-02
(주)세영산업,054-850-5205,054-853-9929,경상북도 안동시 남후면 농공길 36-10 외 1필지,"도금, 착색 및 기타 표면처리강재 제조업 외 1 종","도복강관,이형관, 철구조물",권기주,2021-09-02
(주)수영산업,054-855-2501,054-853-2501,경상북도 안동시 남후면 농공길 52-9,유압기기 제조업 외 2 종,펌프 등,이정연,2021-09-02
(주)신호,054-856-4800,054-856-4801,"경상북도 안동시 남후면 농공길 6, 남후농공단지",구조용 금속 판제품 및 공작물 제조업 외 1 종,"도로표지판,지주(신호등,표지판)",이경희,2021-09-02
(주)영남이엔지,054-857-7722,054-857-7785,경상북도 안동시 남후면 농공길 37-10,배전반 및 전기 자동제어반 제조업 외 1 종,"배전반, 전기자동제어반",강호경,2021-09-02
(주)영진폴리텍,054-854-5173,054-854-5174,경상북도 안동시 남후면 농공길 36-9,"플라스틱 선, 봉, 관 및 호스 제조업",PE관,민춘홍,2021-09-02
(주)원금산업,054-857-3100,054-841-0084,"경상북도 안동시 남후면 농공길 25, (남후농공단지)",금속 표시판 제조업 외 3 종,"옥외간판,금속표시판,교통표시판,게비온,돌망태",김순옥,2021-09-02
(주)유일산업,054-822-6162,054-822-6164,경상북도 안동시 남후면 농공길 37-9,금속선 가공제품 제조업 외 2 종,"철망, 구조용 금속, 교량용 이음장치 등",최익용,2021-09-02
(주)제이에스엔지니어링,054-857-9998,054-857-9997,경상북도 안동시 남후면 농공길 76,액체 펌프 제조업,펌프,유묘숙,2021-09-02
(주)한국파이프,054-843-5577,054-843-5576,경상북도 안동시 남후면 농공길 36-7,"플라스틱 선, 봉, 관 및 호스 제조업",폴리에틸렌관,민춘홍,2021-09-02
(합)대덕산업,054-858-4816,054-858-4813,"경상북도 안동시 남후면 농공길 19, (남후농공단지)","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종","철전주,가로등주,생태블록",심재덕,2021-09-02
(합)대덕산업2공장,054-858-4816,054-858-4813,경상북도 안동시 남후면 농공길 28,표면처리 및 적층 직물 제조업 외 1 종,식생 부직포,심재덕,2021-09-02
경북산업,054-821-4000,54,경상북도 안동시 남후면 농공길 52-9 (총 2 필지) 외 1필지,농업 및 임업용 기계 제조업 외 1 종,"농기계, 고춧가루가공",안휘철,2021-09-02
경안농기계,054-859-1799,054-853-1705,"경상북도 안동시 남후면 큰광음길 79, 남후농공단지내",농업 및 임업용 기계 제조업,"탈곡기,절단기,풍로",이교섭,2021-09-02
남안동농업협동조합,054-853-4281,054-853-4285,"경상북도 안동시 남후면 농공길 51, 남후농공단지내",기타 과실ㆍ채소 가공 및 저장 처리업,"망양파, 깐양파",권기봉,2021-09-02
남안동농협가공사업소,054-858-8085,054-858-7149,경상북도 안동시 남후면 농공길 45,기타 과실ㆍ채소 가공 및 저장 처리업,"고추가루, 세절건고추",권기봉,2021-09-02
농업회사법인 산마을(주),054-859-3963,054-859-3962,경상북도 안동시 남후면 농공길 52-11,장류 제조업,장류,정중호,2021-09-02
농업회사법인 유토피아(주),054-841-3378,054-841-3379,경상북도 안동시 남후면 큰광음길 107,소주 제조업,"주류, PP마포",서주현,2021-09-02
농업회사법인(주)한국라이스텍,054-842-0400,054-842-0402,경상북도 안동시 남후면 농공길 24,곡물 도정업 외 2 종,"현미,백미,누룽지,빵",최해천,2021-09-02
대성산업,054-859-1600,054-858-7426,경상북도 안동시 남후면 농공길 5,금속선 가공제품 제조업 외 1 종,"돌망태,용접철물,게비온",이인구,2021-09-02
동심코칠리,054-859-2294,054-859-7725,"경상북도 안동시 남후면 큰광음길 83, 남후농공단지",천연 및 혼합조제 조미료 제조업,"고추가루,깐마늘",이동용,2021-09-02
동아산업,054-859-7705,054-859-7704,경상북도 안동시 남후면 농공길 65,기타 방적업,폴리에스터 단섬유,정삼조,2021-09-02
라인리사이클(주),054-843-9920,054-843-9930,"경상북도 안동시 남후면 농공길 57, 농공단지내",아스팔트 콘크리트 및 혼합제품 제조업,재생아스콘,조인수,2021-09-02
복주(주),054-823-9500,053-955-9560,경상북도 안동시 남후면 농공길 37-10,금속탱크 및 저장용기 제조업 외 1 종,물탱크,권귀순,2021-09-02
안동시고추종합처리장,054-858-0860,054-858-7149,경상북도 안동시 남후면 농공길 45,기타 과실ㆍ채소 가공 및 저장 처리업,세절건고추,권기봉,2021-09-02
안동종가에프씨(주),054-858-6811,054-858-6812,경상북도 안동시 남후면 농공길 52-9,김치류 제조업 외 1 종,김치,김영일,2021-09-02
애드앤포토,054-859-3186,054-859-3182,경상북도 안동시 남후면 농공길 52-9,간판 및 광고물 제조업,홍보안내표지판,김은숙,2021-09-02
에스엔테크,054-0859-3507,054-859-3507,"경상북도 안동시 남후면 농공길 37-9, 남후농공단지내 (총 2 필지) 외 1필지","플라스틱 선, 봉, 관 및 호스 제조업","육묘상자,농자재",손혁규,2021-09-02
영농조합법인 안동민속티엠알,054-843-3113,54,경상북도 안동시 남후면 농공길 52-10,배합 사료 제조업 외 1 종,한우용 사료,권명옥,2021-09-02
영진폴리텍,054-853-5173,054-853-5174,경상북도 안동시 남후면 농공길 36-9 외 1필지,코르크 및 조물제품 제조업,PE 이음관,민춘홍,2021-09-02
우성케미칼(주),054-854-7668,054-854-7669,경상북도 안동시 남후면 큰광음길 115,합성섬유 제조업,폴리에스테르 섬유,전인택,2021-09-02
우영테크,,054-931-5576,경상북도 안동시 남후면 농공길 6,그 외 기타 플라스틱 제품 제조업 외 1 종,도로안전시설물,강혜영,2021-09-02
원스틸(주),054-859-3607,054-859-7323,경상북도 안동시 남후면 농공길 36-11,"도금, 착색 및 기타 표면처리강재 제조업",피복강관,이병경,2021-09-02
일우철강(주),054-859-8890,054-859-8989,경상북도 안동시 남후면 큰광음길 89,그 외 기타 1차 철강 제조업,철근가공업,박경태,2021-09-02
주인산업(주),054-843-7300,054-843-7400,"경상북도 안동시 남후면 농공길 39, 남후농공단지","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","호안블럭,잔디.주차블럭,식생매트",권인호,2021-09-02
한국바이오콘주식회사,054-843-6300,054-843-7400,경상북도 안동시 남후면 농공길 65-9,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,"오수맨홀,호안블럭 등",최금화,2021-09-02
한국에코산업(주),054-843-7301,054-843-7400,경상북도 안동시 남후면 농공길 65-12,부직포 및 펠트 제조업 외 2 종,"식생매트,철근,이중벽관,삼중벽관",권인호,2021-09-02
현대샤인건업,054-854-4887,054-854-4880,경상북도 안동시 남후면 큰광음길 111,플라스틱 창호 제조업 외 5 종,PVC샷시,변단흠,2021-09-02
(주)경북콘텐츠랩,054-854-7723,054-854-7750,경상북도 안동시 풍산읍 풍산공단길 17,간판 및 광고물 제조업,홍보안내표지판,이건호,2021-09-02
(주)금복주 안동공장,054-843-0363,054-843-0363,경상북도 안동시 풍산읍 절뒤길 33,소주 제조업,소주,"이원철, 김일환",2021-09-02
(주)대양강업,054-858-8989,054-858-8995,경상북도 안동시 풍산읍 풍산공단길 5-8,구조용 금속 판제품 및 공작물 제조업,샌드위치판넬,임종철,2021-09-02
(주)레인보우,054-841-0405,0303-3130-8164,경상북도 안동시 풍산읍 절뒤길 53,"천막, 텐트 및 유사 제품 제조업 외 5 종","막구조물,자전거보관대 등",김남진,2021-09-02
(주)배광산업,054-858-7900,054-858-8745,경상북도 안동시 풍산읍 절뒤길 49,"박판, 합판 및 유사 적층판 제조업",합판 코팅,장대진,2021-09-02
(주)신화콘크리트,054-859-7718,054-859-7728,경상북도 안동시 풍산읍 절뒤길 15 외 1필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,콘크리트관및조립구조재,조임숙,2021-09-02
(주)신화콘크리트 안동지점,054-859-7718,054-859-7728,경상북도 안동시 풍산읍 풍산공단길 5-31,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","상하수도용 맨홀블럭,콘크리트호안블럭",조임숙,2021-09-02
(주)와이케이건기,070-4884-0604,02-2169-2630,경상북도 안동시 풍산읍 풍산공단길 13,건설 및 채광용 기계장비 제조업,건설기계부품,채호선,2021-09-02
(주)위즈,054-1577-6396,054-858-7990,경상북도 안동시 풍산읍 산업단지길 253,기타 인쇄업 외 4 종,"인쇄물, LED경관조명기구, 간판, 조형물, 우산",이홍실,2021-09-02
(주)유니콘스,,0504-473-5988,경상북도 안동시 풍산읍 절뒤길 59,"체조, 육상 및 체력단련용 장비 제조업 외 1 종",헬스장비 및 말타기운동기구,최영철,2021-09-02
(주)이티씨(풍산공장),054-842-5596,054-843-5596,경상북도 안동시 풍산읍 풍산공단길 17,기기용 자동측정 및 제어장치 제조업 외 4 종,"배전반, 제어반, 컨트롤러 등",윤영희,2021-09-02
(주)자연과 우리,054-854-6969,054-854-6969,경상북도 안동시 풍산읍 풍산공단길 5-11,위생용 종이제품 제조업,화장지,권영추,2021-09-02
(주)정우비앤에스,054-821-4720,054-821-4722,경상북도 안동시 풍산읍 절뒤길 53,방송장비 제조업 외 9 종,"방송장비,전광판,감시기기",최금순,2021-09-02
(주)주원정공 제2공장,054-822-7171,054-822-6782,경상북도 안동시 풍산읍 산업단지길 253,수동식 식품 가공기기 및 금속 주방용기 제조업 외 8 종,"주방기구, 음수대, 주방용전기기기",정연미,2021-09-02
(주)태진산업,054-822-0970,054-822-0971,경상북도 안동시 풍산읍 산업단지길 253,구조용 금속 판제품 및 공작물 제조업 외 9 종,"급수대,조회대,운동기구,샤시제작조립",이주원,2021-09-02
(주)한성이에이,054-858-8394,054-858-8392,경상북도 안동시 풍산읍 풍산공단길 5-22,그 외 기타 플라스틱 제품 제조업 외 2 종,수도미터기 보호통,김성년,2021-09-02
(주)현무,054-534-1007,070-4348-3673,경상북도 안동시 풍산읍 절뒤길 59,배전반 및 전기 자동제어반 제조업 외 4 종,"계장계측제어장치, 제어반, 배전반, 영상감시장치, 약품투입기","한정구, 이민주",2021-09-02
글로벌아그로(주),054-858-2971,054-858-2972,경상북도 안동시 풍산읍 절뒤길 18,생물 살균.살충제 및 식물보호제 제조업,토양보습제,이용진,2021-09-02
더파크산업(주),054-901-0888,054-901-0889,경상북도 안동시 풍산읍 절뒤길 53,"금속 문, 창, 셔터 및 관련제품 제조업 외 6 종","가동보, 수문, 수문권양기, 상하수도설비 등",박재동,2021-09-02
동광 신소재,054-858-6735,,경상북도 안동시 풍산읍 풍산공단길 5-11,그 외 기타 분류 안된 비금속 광물제품 제조업,탄소섬유 관련 제품,김종훈,2021-09-02
동방산업가스,054-858-7593,054-858-7595,경상북도 안동시 풍산읍 절뒤길 34,산업용 가스 제조업,산소(충전),김태건,2021-09-02
라성에너지(주),054-853-5696,054-858-5698,경상북도 안동시 풍산읍 절뒤길 53,일반용 전기 조명장치 제조업 외 8 종,"목재, 가로등주, LED램프, 난간, 자동열림시스템, 지진비상경보기, 비상운반용간판, 헬멧",유은상,2021-09-02
