순번,회사명,대표자명,전화번호,팩스번호,공장대표주소,업종명,생산품,데이터기준일
149,대창정밀(주),신현수,055-532-1371,055-533-8559,경상남도 창녕군 성산면 후천공단길 34,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,자동차부품,2021-10-07
150,(주)한맥기계(1공장),구두회,055-536-8866,055-532-1370,경상남도 창녕군 도천면 논리 388번지 외 3필지,그 외 자동차용 신품 부품 제조업 외 3 종,산업용배관,2021-10-07
151,(주)진명금속자원,진동규,,,경상남도 창녕군 대합면 합리 1421번지,선박 구성 부분품 제조업,철구조물,2021-10-07
152,델타캐스트(주)대합공장,김종열,055-532-9621,055-533-0222,경상남도 창녕군 대합면 대합산업단지로 120-7,기타 건축용 나무제품 제조업,선박부품,2021-10-07
153,(주)해드림에프에스,황용주,055-533-8552,055-536-0913,경상남도 창녕군 대지면 효정리 322-3번지 외 3필지,포장용 플라스틱 성형용기 제조업,"순대,족발,편육,꼬리,대창,육수",2021-10-07
154,도정공업사,신인애,055-533-0222,055-324-9985,경상남도 창녕군 대지면 석리 693번지 외 8필지 외 4필지,기타 과실ㆍ채소 가공 및 저장 처리업,목재 건축내장재,2021-10-07
155,(주)그린에어시스,이영호,055-533-9041,055-521-7806,경상남도 창녕군 대지면 갈전길 195,승강기 제조업 외 2 종,덕트,2021-10-07
156,에스비비 주식회사,이태형,055-724-0204,055-533-0259,경상남도 창녕군 유어면 외부풍조로 189,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,투수포장재,2021-10-07
157,해성정밀,김경관,055-536-6901,050-4145-7872,경상남도 창녕군 영산면 서리상촌길 307-72,그 외 기타 1차 철강 제조업 외 2 종,조향장치,2021-10-07
158,(주)한맥기계(2공장),구두회,055-536-8866,,경상남도 창녕군 도천면 논리우강길 304,금속선 가공제품 제조업,산업설비배관,2021-10-07
159,(주)창녕,성낙병,053-586-9777,053-586-8596,경상남도 창녕군 대합면 합리 1396번지 10-3블록,차체 및 특장차 제조업 외 1 종,콘크리트 펌프카 실린더,2021-10-07
160,(주)대일테크,차진영,055-532-4582,055-536-8834,경상남도 창녕군 대합면 대합산업단지로 103,육상 금속 골조 구조재 제조업 외 1 종,"알루니늄 인고트, 볼베어링",2021-10-07
161,(주)라인메탈,정순희,055-532-0251,,경상남도 창녕군 대지면 대지농공단지길 24-21 (1동),기어 및 동력전달장치 제조업,와이어로프,2021-10-07
162,(주)대성산업,차재현,055-533-1364,055-342-0206,경상남도 창녕군 대지면 경남대로 4897-14,비내화 모르타르 제조업,"우, 돈",2021-10-07
163,덕상정밀(주),이상원,055-237-9254,,경상남도 창녕군 계성면 준공업단지길 27 외 2필지,"면류, 마카로니 및 유사식품 제조업 외 1 종",베벨기어류,2021-10-07
164,정원식품,박성묵,,,경상남도 창녕군 계성면 봉산관동2길 55 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종,국수,2021-10-07
165,천일포장공업(주),이진순,055-532-1766,,경상남도 창녕군 창녕읍 창녕장마로 669-36,선박 구성 부분품 제조업,골판지상자,2021-10-07
166,제이에프(주),진용우,,,경상남도 창녕군 창녕읍 여초리 707번지 외 4필지,그 외 자동차용 신품 부품 제조업 외 3 종,PET원사,2021-10-07
167,(주)조현,이상우,055-521-0721,,경상남도 창녕군 영산면 서리상촌길 307-73,전구 및 램프 제조업 외 6 종,자동차부품,2021-10-07
168,우성테크놀(주),김순득,055-345-7565,055-533-6141,경상남도 창녕군 영산면 서리상촌길 307-61,골판지 제조업 외 1 종,자동차부품,2021-10-07
169,대영포장산업,황지순,055-521-4071,,경상남도 창녕군 영산면 서리상촌길 307-55,승강기 제조업,부품박스,2021-10-07
170,남양포장공업사,제갈수찬,055-533-5769,,경상남도 창녕군 성산면 대견리 151-1번지,"고무, 화학섬유 및 플라스틱 성형기 제조업",골판지상자,2021-10-07
171,수성산업,서정대,,051-955-2401,경상남도 창녕군 성산면 곽천대산로 292 외 3필지,배합 사료 제조업 외 1 종,레미콘,2021-10-07
172,회원정공,이상근,055-587-9963,,경상남도 창녕군 도천면 치이골길 30 (총 2 필지) 외 1필지,"플라스틱 선, 봉, 관 및 호스 제조업",엔진용 chain sprocket,2021-10-07
173,윈스타패브릭,이분도,,055-532-2942,경상남도 창녕군 대합면 합리 1414-1번지,골판지 제조업 외 1 종,브라인드행거,2021-10-07
174,(주)남양에스앤티,홍정호,,,경상남도 창녕군 대합면 평지리 61-4번지 외 13필지,탁주 및 약주 제조업,자동차 제동장치,2021-10-07
175,주영산업,이진호,,055-521-4073,경상남도 창녕군 대합면 평지리 138-5번지 외 1필지,골판지 제조업 외 3 종,부직포,2021-10-07
176,에스엔티(S&T) 인더스트리,한수미,032-576-8250,055-532-6632,경상남도 창녕군 대합면 이방리 470번지 외 1필지 외 1필지,면직물 직조업,인쇄원단,2021-10-07
177,(주)명성패킹,김학균,055-533-5110,,경상남도 창녕군 대합면 유산1길 16 (총 4 필지) 외 3필지,레미콘 제조업 외 1 종,"골판지상자,지통,하드보드지",2021-10-07
178,고려산업(주) 창녕공장,김영교,051-600-5000,055-536-7719,경상남도 창녕군 대합면 수장퇴산로 35 (총 4 필지) 외 3필지,무기 및 총포탄 제조업 외 16 종,배합사료,2021-10-07
179,기운테크,임미선,055-532-0180,,경상남도 창녕군 대합면 모전리 906번지,기타 인쇄업 외 1 종,수도관(수도관부속 외 동자재),2021-10-07
180,(주)경민,황윤경,,,경상남도 창녕군 대합면 등지리 264번지 외 3필지 외 3필지,그 외 자동차용 신품 부품 제조업 외 3 종,선박구성부분품,2021-10-07
181,동원섬유,최한영,055-532-6631,053-585-0048,경상남도 창녕군 대합면 둔지길 29-8,"금속 문, 창, 셔터 및 관련제품 제조업","폴리스판, 커텐지",2021-10-07
182,(주)대산엘이디 전기조명,이종규,055-532-5546,,"경상남도 창녕군 대합면 대합산업단지로 22-22, (1422번지)",합성섬유 제조업,LED 조명기구,2021-10-07
183,주식회사 화신금속,조원기,055-532-2232,,경상남도 창녕군 대합면 대합산업단지로 101,"알루미늄 제련, 정련 및 합금 제조업",알루미늄 합금제품,2021-10-07
184,(주)코아칩스,오재근,031-278-7992,,경상남도 창녕군 대합면 대합공단길 35-8,부직포 및 펠트 제조업,사출형성기,2021-10-07
185,농업회사법인 우포의 아침(주),박중협,055-532-3900,055-532-1766,경상남도 창녕군 대지면 대지농공단지길 40,골판지 제조업 외 1 종,"탁주,약주",2021-10-07
186,승보산업사,김명환,055-521-7712,055-536-9941,경상남도 창녕군 계성면 준공업단지길 32-8,자동차 엔진용 신품 부품 제조업 외 1 종,동및동합금관,2021-10-07
187,(주)신광콘크리트,주재영,055-533-5100,,경상남도 창녕군 창녕읍 이남길 40-60 (창녕읍) 외 4필지,그 외 자동차용 신품 부품 제조업 외 3 종,인터로킹,2021-10-07
188,(주)동소금속,김기현,055-521-3087,055-5330-1505,경상남도 창녕군 장마면 초곡길 235-24,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","파이프, 칼라",2021-10-07
189,(주)케이씨이피이,신경식,055-526-1733,,경상남도 창녕군 영산면 월령공장길 89,구름베어링 제조업,펌프카차량제조,2021-10-07
190,대명스틸,염수해,055-521-4412,055-526-1745,경상남도 창녕군 영산면 영산월령로 384 외 3필지,액체 펌프 제조업,"철강구조물구조용,철근콘크리트구조물구조용",2021-10-07
191,동양알피에프산업(R.P.F)(주),박문신,055-536-0270,055-521-4414,경상남도 창녕군 도천면 논리우강길 403 외 14필지,기타 구조용 금속제품 제조업,"TU Beam, TU deck",2021-10-07
192,진우정밀,김민석,055-533-2089,055-536-0271,경상남도 창녕군 대합면 합리 1412-3번지,육상 금속 골조 구조재 제조업,"금속가공제품, 샤프트, 조인트 등",2021-10-07
193,천안제과,이영애,055-532-3021,055-533-0026,경상남도 창녕군 대합면 대합공단길 40,합성섬유 제조업,"빵, 과자",2021-10-07
194,에스카(주),진홍근,055-533-0081,055-533-3079,경상남도 창녕군 대지면 우포1대로 1355,절삭가공 및 유사처리업,폴리에스터 단섬유,2021-10-07
195,(주)에이치앤비,이근명,055-532-5260,055-532-3091,경상남도 창녕군 대지면 우포1대로 1218-17 외 8필지,빵류 제조업,니들베어링,2021-10-07
196,캠프로주식회사 창녕공장,장정영,055-532-6339,053-581-8825,경상남도 창녕군 창녕읍 창녕공단길 32,주형 및 금형 제조업,"텐트,천막",2021-10-07
197,(주)신우포장,이동원,055-521-5630,055-521-5631,경상남도 창녕군 영산면 신제로 24 외 2필지,골판지 제조업 외 2 종,포장용 박스,2021-10-07
198,(주)유일정공,최병진,,,경상남도 창녕군 영산면 신제로 20,절삭가공 및 유사처리업,발전설비 절삭가공,2021-10-07
199,두원섬유공업사,최목은,055-521-2581,055-532-3114,경상남도 창녕군 영산면 서리상촌길 15,기타 건축용 플라스틱 조립제품 제조업,방모사 제조,2021-10-07
200,(주)세기테크,최원복,053-581-8820,,경상남도 창녕군 대합면 합리 1416번지,모 방적업,금형제작 및 다이캐스팅 ,2021-10-07
201,(주)티앤비우드,강민정,055-532-3115,055-532-8488,경상남도 창녕군 대합면 대합산업단지로 136-5,"천막, 텐트 및 유사 제품 제조업 외 1 종",PS몰딩판재,2021-10-07
202,(주)봉견,안영조,055-532-9950,055-536-2280,경상남도 창녕군 유어면 우포1대로 908 외 7필지,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",호안블럭,2021-10-07
203,(주)리노,정준환,055-232-7108,051-731-4590,경상남도 창녕군 유어면 내부곡길 166 (총 4 필지) 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,"초음파탐상기,비파괴검사장비",2021-10-07
204,송강도예연구소,강영남,055-536-0999,,경상남도 창녕군 영산면 장척길 9,"물질 검사, 측정 및 분석기구 제조업 외 5 종","전통도자기, 생활도자기",2021-10-07
205,선미식품주식회사,이대우,055-533-3030,055-532-1852,경상남도 창녕군 영산면 영산월령로 414-16,천연 및 혼합조제 조미료 제조업 외 6 종,"김치, 장류",2021-10-07
206,대건스틸(주),정장화,,055-532-9971,경상남도 창녕군 영산면 신제로 71,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",철근가공,2021-10-07
207,(주)회원이엔지,이상근,055-521-1710,055-532-3076,경상남도 창녕군 도천면 도천리 629-2번지 외 4필지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,자동차 부품,2021-10-07
208,월드엔지니어링(주),이호열,055-329-2593,055-806-8032,경상남도 창녕군 대합면 합리 1421-1번지,선박 구성 부분품 제조업,산업기계제작(유원지 놀이기구 부품),2021-10-07
209,(주)대도씨엔이,배지명,051-731-4579,055-536-9941,경상남도 창녕군 대합면 평지퇴산로 239,자동차용 신품 동력전달장치 제조업 외 1 종,"철구조물, 강구조물",2021-10-07
210,LG스틸 콘테이너,박태영,055-532-6004,055-532-6010,경상남도 창녕군 대합면 수장퇴산로 69,기타 구조용 금속제품 제조업,콘테이너,2021-10-07
211,(주)모전식품,박수경,055-532-1820,,경상남도 창녕군 대합면 모전리 876번지 외 8필지,육상 금속 골조 구조재 제조업,"숙성양파농축액,곰탕,설렁탕,돈사골추출액",2021-10-07
212,(주)성화,라선이,055-806-8031,055-533-1772,경상남도 창녕군 대합면 모전리 563번지 외 1필지,가정용 및 장식용 도자기 제조업,"해치,격판",2021-10-07
213,천옥코리아,이강숙,,,경상남도 창녕군 대합면 도장골길 15-3,기타 수산동물 가공 및 저장 처리업,"산양삼 경옥로얄, 환",2021-10-07
214,부산해림식품,김형광,055-533-7600,055-533-3300,경상남도 창녕군 대지면 왕산길 48,"면류, 마카로니 및 유사식품 제조업 외 1 종",튀김어묵,2021-10-07
215,(주)새일진식품,박병준,055-532-4643,055-532-6429,경상남도 창녕군 대지면 경남대로 4897-65,김치류 제조업 외 1 종,2차 가공육,2021-10-07
216,새한식품(주),양혜경,055-533-7901,055-536-0998,경상남도 창녕군 고암면 원촌어은길 42 외 1필지,가정용 및 장식용 도자기 제조업,면류,2021-10-07
217,도원사,안동일,055-533-1772,055-329-2594,경상남도 창녕군 고암면 갈동길 56-31 (총 2 필지) 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,슈퍼본차이나 화인세라믹소재,2021-10-07
218,(주)남정,김시우,055-536-2291,,경상남도 창녕군 계성면 명달길 16,건강기능식품 제조업,"이중벽, 삼중벽하수관, 지중전선관,수도관, 폴리에틸렌제품",2021-10-07
219,(주)엔.에이.텍,박정순,055-532-0541,,경상남도 창녕군 유어면 선소1길 117-25 (총 2 필지) 외 1필지,산업용 그 외 비경화 고무제품 제조업 외 2 종,부산물비료(퇴비),2021-10-07
220,(주)제이에프코리아,조정표,055-521-9002,055-521-3380,경상남도 창녕군 도천면 경남대로 3081 (총 4 필지) 외 3필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,전자통신장비부품,2021-10-07
221,진성산업,이재대,,055-532-0542,경상남도 창녕군 대합면 합리 1412-2번지,복합비료 및 기타 화학비료 제조업 외 1 종,금속조립구조재,2021-10-07
222,천우건설테크,현대권,,055-533-8110,경상남도 창녕군 대합면 소야모전길 35,복합비료 및 기타 화학비료 제조업 외 1 종,철근가공,2021-10-07
223,무진정공,김춘화,,,경상남도 창녕군 대합면 대합산업단지로 38-56,그 외 기타 플라스틱 제품 제조업,Sprocket,2021-10-07
224,풍성에프엔비 주식회사,남지곤,055-806-8888,,경상남도 창녕군 대합면 대동월포로 32-5,펄프 제조업,간장류,2021-10-07
225,(주)이앤씨,이태순,055-533-8871,055-536-5824,경상남도 창녕군 대지면 학성세거리길 270,"면류, 마카로니 및 유사식품 제조업 외 1 종",유기질비료,2021-10-07
226,(주)한울,김형대,055-533-8851,,경상남도 창녕군 대지면 왕산리 362번지 외3,자동차 엔진용 신품 부품 제조업,펄프,2021-10-07
227,보성열처리(주),정봉진,055-532-1777,055-532-1776,경상남도 창녕군 대지면 대지농공단지길 24-28,금속 열처리업,금속열처리,2021-10-07
228,(주)삼성씨와이,허은별,055-521-3381,,경상남도 창녕군 계성면 준공업단지길 11,육상 금속 골조 구조재 제조업 외 1 종,콘크리트수로관,2021-10-07
229,(주)디알아이,김성준,,,경상남도 창녕군 계성면 계성장마로 250-8 외 3필지,육상 금속 골조 구조재 제조업 외 1 종,고무방충제,2021-10-07
230,계성농촌지도자 영농조합법인,김종유,055-536-1405,055-806-8889,경상남도 창녕군 계성면 계성리 406-1번지,장류 제조업,"양파국수,양파떡국",2021-10-07
231,(주)대진,하춘기,055-533-0074,055-532-7933,경상남도 창녕군 창녕읍 환곡어도로 225-21 (총 5 필지) 외 4필지,기타 구조용 금속제품 제조업,산화철,2021-10-07
232,창녕군농협쌀조합공동사업법인,이경재,055-533-5263,055-521-0312,경상남도 창녕군 창녕읍 퇴천리 760-5번지 외 2필지 외 2필지,비내화 모르타르 제조업 외 1 종,쌀,2021-10-07
233,주식회사 강원식품,윤재호,055-532-1361,055-536-2071,경상남도 창녕군 창녕읍 탐하로 9-12,일반 제재업,"냉면,육수, 갈비탕 등",2021-10-07
234,일진금속(주),박회진,055-532-6488,055-532-0077,경상남도 창녕군 창녕읍 창녕공단길 35,절삭가공 및 유사처리업,중장비부품,2021-10-07
235,(주)남양,윤춘규,055-521-0311,055-533-1715,경상남도 창녕군 장마면 초곡길 253 외 1필지,기타 기초 무기 화학물질 제조업,특수모르타르,2021-10-07
236,송원목제,정가용,051-521-5214,055-532-4462,경상남도 창녕군 장마면 창녕장마로 257-39 (총 2 필지) 외 1필지,부직포 및 펠트 제조업 외 1 종,가공 판매 및 각재,2021-10-07
237,(주)남포제재소,전영민,055-536-2079,055-806-7004,경상남도 창녕군 장마면 영산장마로 301-40,도장 및 기타 피막처리업,"파레트, 각재 및 판재",2021-10-07
238,(주)신성메가텍,김종범,051-866-7268,055-533-1179,경상남도 창녕군 장마면 동장가1길 79-20 외 6필지,합성섬유 제조업,철구조물,2021-10-07
239,동명산업,조기동,,,경상남도 창녕군 유어면 내부곡길 89 (총 2 필지) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,연사,2021-10-07
240,(주)에스지,우영기,055-526-0581,,경상남도 창녕군 영산면 월령리 775-7번지 외 4필지,합성섬유 제조업,커플러,2021-10-07
241,디자인 오또,이상민,055-521-8988,053-581-0149,경상남도 창녕군 영산면 영산월령로 90 (총 2 필지) 외 1필지,항공기용 부품 제조업 외 4 종,의자,2021-10-07
242,위코(주),안영도,,055-286-1319,경상남도 창녕군 영산면 영산월령로 370,그 외 자동차용 신품 부품 제조업 외 4 종,패턴왁스,2021-10-07
243,(주)부경하이텍,김영옥,,055-533-2830,경상남도 창녕군 영산면 신제리 731번지 외 1필지,레미콘 제조업,자동차부품(볼스터드),2021-10-07
244,(주)센트랄,"강태룡,김종태",055-278-0247,051-866-7260,경상남도 창녕군 영산면 서리상촌길 307-122 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,"조향,현가장치",2021-10-07
245,풍성식품(주),남지곤,055-521-2109,,경상남도 창녕군 영산면 도천중앙로 161 외 3필지,금속 단조제품 제조업,조미식품용 간장원료,2021-10-07
246,세화산업,윤근,055-532-2338,055-532-4111,경상남도 창녕군 성산면 정녕윗담길 5-10,표면 가공 목재 및 특정 목적용 제재목 제조업,섬유시멘트,2021-10-07
247,YD정밀,서원교,055-533-9501,041-642-0879,경상남도 창녕군 성산면 구례동길 20-91,유기질 비료 및 상토 제조업 외 1 종,자동차부품,2021-10-07
248,동진정밀,하창수,055-345-2770,055-533-8236,경상남도 창녕군 도천면 적말길 35,"플라스틱 선, 봉, 관 및 호스 제조업 외 6 종",조선기자재및연교환기부품,2021-10-07
249,(주)한성테크윈,하정훈,055-536-4077,,경상남도 창녕군 도천면 온천로 232,산업용 난방보일러 및 방열기 제조업,HRSG 보일러 부품제조,2021-10-07
250,(주)참그로,윤환헌,041-642-0878,055-533-5676,경상남도 창녕군 도천면 바깥어만길 84-3 외 3필지,기타 구조용 금속제품 제조업,유기질 비료 및 상토(고체성),2021-10-07
251,서전,민선희,055-521-9387,055-533-9502,경상남도 창녕군 도천면 덕곡리 169-5번지,그 외 자동차용 신품 부품 제조업 외 3 종,금속판 가공,2021-10-07
252,금강스틸,김명수,,055-533-3498,경상남도 창녕군 도천면 논리 산 38번지 외 3필지,두부 및 유사식품 제조업,"H빔, 철재울타리, 철재난간, 나무정자",2021-10-07
253,(주)디케이엘,이동군,055-806-7003,055-521-7848,경상남도 창녕군 도천면 경남대로 3133,구조용 금속 판제품 및 공작물 제조업 외 2 종,철도용부품(도장품),2021-10-07
254,(주)대림에프엔티,정수철,053-615-5000,055-536-9773,경상남도 창녕군 대합면 합리 1414번지,그 외 기타 식료품 제조업,절삭가공 및 유사처리업,2021-10-07
255,(주)지엔지,이용쾌,,055-342-5119,경상남도 창녕군 대합면 평지퇴산로 118-68,배합 사료 제조업 외 1 종,톱밥 제조,2021-10-07
256,(주)가야이에스씨,윤병국,055-532-0080,055-532-5183,경상남도 창녕군 대합면 이방대합로 1132,연사 및 가공사 제조업 외 4 종,강구조물,2021-10-07
257,(주)한영테크,김홍필,055-533-5675,055-345-2769,경상남도 창녕군 대합면 수장퇴산로 93,선박 구성 부분품 제조업,건설자재(강폼),2021-10-07
258,(주)디엔,조숙희,055-532-4460,055-521-8986,경상남도 창녕군 대합면 수장퇴산로 50 (대합면) 외 2필지,소파 및 기타 내장가구 제조업,자동차 내장제,2021-10-07
259,(주)태광수지,김종순,055-533-8235,055-521-6003,경상남도 창녕군 대합면 소야모전길 125 외 2필지,김치류 제조업,폴리에틸렌파이프,2021-10-07
260,비.투.록,김미영,055-532-0783,,경상남도 창녕군 대합면 모지길 11 외 1필지,장류 제조업,일반철물제조업,2021-10-07
261,(주)새한전자 창녕공장,박종규,055-781-0147,,"경상남도 창녕군 대합면 대합산업단지로 136-19, (합리 1299)",일반철물 제조업,항공기용 사출성형부품,2021-10-07
262,제이제이천안제과,주선주,055-533-2570,,경상남도 창녕군 대합면 대합공단길 40,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,빵류,2021-10-07
263,(주)수창,김경식,055-533-1935,055-532-2338,경상남도 창녕군 대합면 대동월포로 381 (총 2 필지) 외 1필지,비금속류 해체 및 선별업 외 1 종,레미콘,2021-10-07
264,블루바이텍,김경태,,,경상남도 창녕군 대합면 대동월포로 32-5,일반 제재업,몽고간장,2021-10-07
265,폴리테크,박태열,,,경상남도 창녕군 남지읍 아지리 177-2번지,합성수지 및 기타 플라스틱 물질 제조업,통발부품,2021-10-07
266,(주)부강텍스,이정희,055-533-1178,055-532-6486,경상남도 창녕군 고암면 억만미산로 268,금속 열처리업,폴리에스텔실,2021-10-07
267,가야종합식품,황태성,055-533-2784,055-533-2579,경상남도 창녕군 고암면 서암길 11-32,빵류 제조업,두부,2021-10-07
268,(주)삼성화이바,진영숙,,055-532-1851,경상남도 창녕군 계성면 영산장마로 519,"면류, 마카로니 및 유사식품 제조업 외 4 종",산업용 폴리에스텔 화이바,2021-10-07
269,농업회사법인(주)해드림,황용주,055-536-0805,055-533-5264,경상남도 창녕군 계성면 명리공단길 46 외 1필지,곡물 도정업,사료제조,2021-10-07
270,봄나리 영농조합법인,김상호,,,경상남도 창녕군 계성면 명리 418-3번지 외 1필지,그 외 기타 플라스틱 제품 제조업,양파김치,2021-10-07
271,농업회사법인 새한푸드,우만자,055-521-3662,,경상남도 창녕군 계성면 광계리 1373-17번지,그 외 기타 식료품 제조업,메추리알 가공,2021-10-07
272,성심마스타푸드,김현진,055-536-0745,055-532-0958,경상남도 창녕군 장마면 장마고곡로 177-52 외 1필지,레미콘 제조업,유자간장 소스,2021-10-07
273,와이케이중공업(주),유준철,055-526-5126,055-526-5333,경상남도 창녕군 영산면 월령공장길 99,"플라스틱 선, 봉, 관 및 호스 제조업",철구조물,2021-10-07
274,농업회사법인 흥국합명회사,박일호,055-521-1905,,경상남도 창녕군 영산면 영산월령로 129 (흥국미곡종합처리장) (총 5 필지) 외 1필지,그 외 기타 분류 안된 섬유제품 제조업,쌀(일반미),2021-10-07
275,부광식품,권수정,055-533-3901,055-533-8088,경상남도 창녕군 성산면 대터공단길 53,육류 포장육 및 냉동육 가공업 (가금류 제외),"냉면, 육수, 비빔장",2021-10-07
276,케이피텍(주),변점수,070-8932-7622,055-533-7048,경상남도 창녕군 도천면 치이골길 41-32 외 2필지,단미 사료 및 기타 사료 제조업 외 2 종,"챠르,카본블랙,고무패드",2021-10-07
277,(주)청아,최정희,055-532-7043,055-533-3370,경상남도 창녕군 대합면 대합공단길 35-7,배전반 및 전기 자동제어반 제조업 외 2 종,"탈취제, 사료첨가제, 토양개량제",2021-10-07
278,(주)대영레미콘,이원웅,055-532-8620,055-521-1907,경상남도 창녕군 대지면 미산길 3-24,곡물 도정업,레미콘,2021-10-07
279,(주)케이엔,강기주,055-533-3001,055-532-3902,경상남도 창녕군 대지면 대지농공단지길 28,"면류, 마카로니 및 유사식품 제조업 외 3 종",일체형 수배전반,2021-10-07
280,(주)지승팜푸드,김영호,055-533-8080,055-536-0748,경상남도 창녕군 대지면 경남대로 4897-35,장류 제조업 외 2 종,"돈육 냉장,냉동 제품",2021-10-07
281,(주)동서폴리텍,최성호,,,경상남도 창녕군 남지읍 남지공단길 17,육상 금속 골조 구조재 제조업 외 1 종,THP이중관,2021-10-07
282,(주)서원산업,서영길,055-345-2776,055-521-5779,경상남도 창녕군 계성면 관동마을길 205 외 6필지,비금속류 해체 및 선별업 외 4 종,충전물 솜,2021-10-07
283,창녕농협 고추가루공장,창녕농협장,055-533-5263,,경상남도 창녕군 창녕읍 창녕장마로 751,"라이터, 연소물 및 흡연용품 제조업",고추가루,2021-10-07
284,보성열처리(주),"정봉진,김영대",055-533-9781,055-533-5603,경상남도 창녕군 창녕읍 창녕공단길 45,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품 및 중장비부품,2021-10-07
285,극동산업,박수섭,055-247-6688,055-521-0287,경상남도 창녕군 영산면 영산도천로 476-1 외 1필지,기타 구조용 금속제품 제조업,"천막,막구조,캔버스",2021-10-07
286,주식회사 효창산업,신도헌,055-521-3010,,경상남도 창녕군 영산면 신제로 94 외 1필지,혼성 및 재생 플라스틱 소재 물질 제조업,철구조물,2021-10-07
287,(주)센트랄씨엠에스,권혁지,055-530-5611,,경상남도 창녕군 영산면 서리상촌길 307-92 외 1필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","자동차터보차져,콤프레샤하우징",2021-10-07
288,(주)로얄캔들,정영은,,055-327-8102,경상남도 창녕군 도천면 어만리 394번지 외 3필지,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",양초(향초),2021-10-07
289,아이앤티엔지니어링(주),"김태길, 남순우",,,경상남도 창녕군 도천면 논리우강길 403 외 1필지,배전반 및 전기 자동제어반 제조업,"TU보, TU DECK",2021-10-07
290,피알아이테크,한성철,,,경상남도 창녕군 대합면 합리 1416번지,"천막, 텐트 및 유사 제품 제조업 외 2 종","밸브 핵심 부품, 엑추에이터",2021-10-07
291,(주)영등산업,장지숙,,,경상남도 창녕군 대합면 평지리 967번지 외 6필지,"천막, 텐트 및 유사 제품 제조업 외 3 종","벽돌,블록",2021-10-07
292,코리아푸드,이상민,053-632-3970,055-526-1112,경상남도 창녕군 대합면 창한로 74-46,기타 종이 상자 및 용기 제조업,"백옥콘, 마카로니",2021-10-07
293,영농조합법인 창녕식품,김용식,055-533-1656,055-533-9783,경상남도 창녕군 대합면 용산유산로 65,금속 열처리업,"고추장,된장,쌈장",2021-10-07
294,(주)태경엔엔씨산업,정진욱,055-532-3855,,경상남도 창녕군 대합면 경남대로 5279-30,육상 금속 골조 구조재 제조업 외 1 종,"차광막, 천막",2021-10-07
295,(주)청명시스텍,이상훈,055-586-1346,,경상남도 창녕군 대지면 대지농공단지길 24-32,장류 제조업,"철도차량 케이블하네스, 배전반",2021-10-07
296,(주)에코라인,정영화,,055-526-6246,경상남도 창녕군 남지읍 학계리 1064-14번지 외 4필지,비금속류 해체 및 선별업 외 1 종,재생 플라스틱 원료,2021-10-07
297,대동포장공업사,김동현,055-526-1112,055-521-3040,경상남도 창녕군 남지읍 학계리 1042-8번지 외 3필지,육상 금속 골조 구조재 제조업 외 1 종,박스지류,2021-10-07
298,진영정공,송지영,,070-8282-7978,경상남도 창녕군 남지읍 성사리 556-6번지 외 5필지 외 5필지,그 외 자동차용 신품 부품 제조업 외 4 종,"자동차부품, 선박부품",2021-10-07
299,(주)일진,이상봉,055-327-8101,055-533-5264,경상남도 창녕군 남지읍 남지공단길 9,천연 및 혼합조제 조미료 제조업,"금속 문,창, 셔터",2021-10-07
300,인다산업,김미옥,055-526-6246,053-639-0301,경상남도 창녕군 남지읍 낙동로 310,과자류 및 코코아 제품 제조업,플라스틱재생원료,2021-10-07
301,(주)에스와이테크,배지훈,055-521-0281,050-2299-0770,경상남도 창녕군 계성면 영산계성로 602,"탭, 밸브 및 유사장치 제조업","금속구조물, 금속기계",2021-10-07
302,삼익에이치디에스 주식회사,진영래,053-719-3160,055-532-0958,경상남도 창녕군 창녕읍 환곡어도로 131,아스팔트 콘크리트 및 혼합제품 제조업,"PIR가공품, 자외선 경화용 유리섬유 강화 플라스틱",2021-10-07
303,주식회사 벡터전자,손영석,055-532-7779,,경상남도 창녕군 창녕읍 창녕대로 138,일반 제재업,전자제품,2021-10-07
304,제일요업,이상진,,,경상남도 창녕군 창녕읍 용석리 752 번지 외 1필지,레미콘 제조업,"제어볼, 황토볼, 하이드로볼",2021-10-07
305,(주)하이센하우스,이병화,1544-1314,,경상남도 창녕군 창녕읍 여초길 130,산업용 송풍기 및 배기장치 제조업,컨테이너 철구조물,2021-10-07
306,하이텍전자,반병호,055-533-0327,,경상남도 창녕군 창녕읍 남창녕로 17,금속류 해체 및 선별업 외 1 종,전자부품,2021-10-07
