회사명,대표자명,공장대표주소,업종명,전화번호,팩스번호,종업원수,생산품,데이터 기준일자
(주)은진텔레콤(지점),송종섭,경상남도 밀양시 하남읍 양명길 83,육상 금속 골조 구조재 제조업,055-331-0550,055-331-5665,4,통신공사 관련 강구조물,2022-08-10
(주)은혜식품,조혜경,경상남도 밀양시 상남면 예평로 15,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,055-354-3118,055-355-2344,3,통조림 제조,2022-08-10
(주)이알,박성재,경상남도 밀양시 부북면 사포산단1길 140,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",055-802-8586,055-802-8587,36,"자동화 설비, 금속창호",2022-08-10
(주)이엔에프,우영기,경상남도 밀양시 하남읍 양명길 62-24 외 2필지,금속류 해체 및 선별업 외 3 종,055-391-6500,055-391-5660,13,재생골재,2022-08-10
(주)자양모방,강은철,경상남도 밀양시 하남읍 양동농공단지길 61,모 방적업,055-391-6744,055-391-6740,7,방모사,2022-08-10
(주)정암지앤더블유,손홍희,경상남도 밀양시 부북면 춘화농공단지길 12-16,안전유리 제조업 외 1 종,055-353-1661,050-5330-1221,38,강화유리,2022-08-10
(주)정우개발,"조기영,박용기",경상남도 밀양시 부북면 사포공단1길 25-22 (총 4 필지) 외 3필지,비금속류 해체 및 선별업 외 1 종,055-352-9595,055-351-3010,17,재생골재,2022-08-10
(주)제로그라인딩,박용운,경상남도 밀양시 산내면 가인3길 7-6,그 외 기타 금속가공업,055-351-4998,055-351-4990,4,절삭공구,2022-08-10
(주)제이엘티,심익선,경상남도 밀양시 삼랑진읍 미율로 410,일반철물 제조업,055-353-5672,,26,철사 옷걸이,2022-08-10
(주)제이텍(지점),박종찬,경상남도 밀양시 부북면 사포산단중앙로 80 외 1필지,주방용 전기기기 제조업,055-384-9400,055-384-9473,58,선박용 주방전기기기,2022-08-10
(주)제일스테피아,오왕근,경상남도 밀양시 하남읍 양동농공단지길 34,금속선 가공제품 제조업 외 1 종,055-391-1357,055-391-1359,0,스테플,2022-08-10
(주)제일지대,김이규,경상남도 밀양시 상남면 이연1길 7,종이 포대 및 가방 제조업,055-354-3008,055-355-3008,37,"종이가방,곡물포대",2022-08-10
(주)젬코프레이션제2공장,홍병호,경상남도 밀양시 초동면 초동농공단지길 23-32,동물성 유지 제조업 외 5 종,055-391-7270,,0,공업용(사료용)유지,2022-08-10
(주)젬코프레이션지점,홍병호,경상남도 밀양시 초동면 초동농공단지길 55-38,배합 사료 제조업 외 1 종,055-391-7270,055-391-6171,1,배합사료(양어사료),2022-08-10
(주)지더블유산업,박인흠,경상남도 밀양시 부북면 무연1길 79-53,플라스틱 필름 제조업 외 1 종,055-354-2112,055-354-2113,15,자동차내장제(카페트 등),2022-08-10
(주)지성,하진수,경상남도 밀양시 삼랑진읍 단장로 218-17,액체 펌프 제조업,055-354-9800,055-354-9803,7,펌프,2022-08-10
(주)지엘바이오,임정식,경상남도 밀양시 부북면 송포로 191-11,배합 사료 제조업 외 6 종,055-355-0329,055-355-0329,5,"보조사료, 토양미생물제재, 발효기, 발효장치",2022-08-10
(주)진성이앤지,정은수,경상남도 밀양시 하남읍 양동농공단지길 58,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",055-263-1070,055-262-8700,30,가전부품,2022-08-10
(주)진일벤드 밀양2공장,류재수,경상남도 밀양시 삼랑진읍 삼랑진로 465-38,기타 1차 비철금속 제조업,055-351-4820,051-715-0821,8,관이음쇠,2022-08-10
(주)찬우,손영준,경상남도 밀양시 산외면 화동강길 65 외 11필지,레미콘 제조업,055-355-6969,055-355-5973,17,레미콘,2022-08-10
(주)찬우,손영준,경상남도 밀양시 부북면 무연리 556-1번지,그 외 기타 분류 안된 비금속 광물제품 제조업 외 4 종,055-355-6969,055-355-5973,19,DCM전용 고화제,2022-08-10
(주)찬우아스콘,손희권,경상남도 밀양시 산외면 산외강변로 29 (총 2 필지) 외 1필지,아스팔트 콘크리트 및 혼합제품 제조업,055-355-6969,055-355-5973,5,"아스콘, 순환아스팔트콘크리트",2022-08-10
(주)창신산업,최창형,경상남도 밀양시 삼랑진읍 미율로 394-23 외 3필지,선박 구성 부분품 제조업,,,5,금속가공,2022-08-10
(주)케이비정공,오영식,경상남도 밀양시 부북면 사포산단중앙로 131,자동차 차체용 신품 부품 제조업,055-351-0233,,4,차량용 부속품,2022-08-10
(주)케이에스이피,안홍길,경상남도 밀양시 삼랑진읍 미전리 309번지 외 1필지,그 외 자동차용 신품 부품 제조업 외 4 종,055-351-0527,055-351-0526,81,실린더용정밀강판,2022-08-10
(주)케이에스이피,안홍길,경상남도 밀양시 삼랑진읍 미전농공단지길 75,그 외 자동차용 신품 부품 제조업 외 4 종,055-351-0527,055-351-0526,81,강관가공품,2022-08-10
(주)케이에스이피,안홍길,경상남도 밀양시 부북면 춘화농공단지길 40 외 1필지,유압기기 제조업 외 3 종,055-351-0527,,7,"정밀강관, 자동차부품, 기계및중장비부품",2022-08-10
(주)케이에스지기술환경,김종현,경상남도 밀양시 삼랑진읍 미전농공단지길 100,선박 구성 부분품 제조업,055-359-4646,055-351-4640,21,"도장부스, 환경설비",2022-08-10
(주)코나,박재경,경상남도 밀양시 부북면 사포산단1길 90-42,그 외 기타 전자부품 제조업 외 2 종,,055-351-2557,0,스테인레스 선재,2022-08-10
(주)키랜드디앤씨,유한세,경상남도 밀양시 부북면 사포공단1길 42-1,유기질 비료 및 상토 제조업 외 3 종,,070-7469-2001,6,"친환경비료, 가축사료첨가제",2022-08-10
(주)태광뉴텍 밀양공장,신진문,경상남도 밀양시 초동면 초동농공단지길 39-4,플라스틱 필름 제조업 외 1 종,055-391-6041,055-391-6008,3,플라스틱필름제조업,2022-08-10
(주)태림,권일진,경상남도 밀양시 상남면 상남로 693 (라동) 외 23필지,"1차 유리제품, 유리섬유 및 광학용 유리 제조업 외 4 종",055-355-0081,055-353-4924,12,"철도차량내장재,상하수도용유리섬유복합관",2022-08-10
(주)태승뷰티산업,하영우,경상남도 밀양시 부북면 사포공단1길 7-3 외 3필지,"치약, 비누 및 기타 세제 제조업 외 1 종",055-353-2231,055-353-2298,9,"화장비누, 샴푸, 린스, 로션, 스킨 등",2022-08-10
(주)태원기전,배근한,경상남도 밀양시 초동면 초동농공단지길 23-9,기타 전기 변환장치 제조업 외 14 종,055-391-7671,055-391-7670,3,엘리베이트부품,2022-08-10
(주)프라임오앤에프,김인,경상남도 밀양시 무안면 가복4길 132,배합 사료 제조업 외 1 종,055-927-1166,055-927-1155,9,사료,2022-08-10
(주)플라젠,손진호,경상남도 밀양시 하남읍 양동농공단지길 4 외 1필지,플라스틱 필름 제조업 외 1 종,055-391-0389,055-391-0388,58,아크릴수지판,2022-08-10
(주)하광,이봉두,경상남도 밀양시 부북면 사포공단1길 42-1 외 2필지,일반 제재업 외 5 종,055-352-8270,055-356-8260,6,"천연목재, 디자인형울타리, 합성목재, 식생매트",2022-08-10
(주)한국선박기술,오동섭,경상남도 밀양시 삼랑진읍 용전산업단지길 293,선박 구성 부분품 제조업 외 2 종,055-355-1350,055-355-1356,70,"조선기자재, 배관재",2022-08-10
(주)한국선박기술,오동섭,경상남도 밀양시 무안면 무안서로 99-28,선박 구성 부분품 제조업 외 2 종,055-356-1360,055-356-1361,9,조선기자재,2022-08-10
(주)한국신소재,이명화,경상남도 밀양시 부북면 춘화로 85,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",055-355-0081,055-353-0088,176,유리섬유 및 광학용유지제조업,2022-08-10
(주)한국신소재,이명화,경상남도 밀양시 초동면 신연로 262,그 외 기타 분류 안된 비금속 광물제품 제조업,055-350-8421,055-355-0088,10,"연마제(ZERO D#3, #6)",2022-08-10
(주)한국엔지니어링,장성호,경상남도 밀양시 하남읍 파내2길 8-7 외 3필지,내연기관 제조업,055-391-0246,055-391-0256,26,선박엔진부품,2022-08-10
(주)한국카본,"조문수, 이명화",경상남도 밀양시 부북면 춘화로 85 외 9필지,"1차 유리제품, 유리섬유 및 광학용 유리 제조업 외 5 종",055-350-8888,055-355-0088,318,"탄소섬유,유리섬유",2022-08-10
(주)한국카본,"조문수, 이명화",경상남도 밀양시 부북면 사포산단중앙로 103,"금속 문, 창, 셔터 및 관련제품 제조업 외 10 종",055-350-8888,,30,하니컴판넬,2022-08-10
(주)한국카본2공장,"조문수, 이명화",경상남도 밀양시 상남면 연금리 383번지 외 2필지,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,055-355-0081,055-353-4924,99,탄소섬유및기타탄소제품제조업,2022-08-10
(주)한국특수파이프,안홍길,경상남도 밀양시 삼랑진읍 미율로 56,강관 제조업 외 1 종,055-351-0527,055-351-0526,28,자동차 부품,2022-08-10
(주)한국화이바,이진광,경상남도 밀양시 부북면 춘화로 85 (총 10 필지) 외 9필지,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",055-355-0081,055-353-4924,116,유리섬유,2022-08-10
(주)한국화이바 제2공장,이진광,경상남도 밀양시 상남면 상남로 693 (라동) 외 20필지,항공기용 부품 제조업 외 4 종,055-359-2642,055-359-2649,82,"항공기부품, 무기과련 부품, 선박구성부분품",2022-08-10
(주)한국화이바2공장,이진광,경상남도 밀양시 상남면 연금리 379번지,"1차 유리제품, 유리섬유 및 광학용 유리 제조업 외 4 종",055-359-2642,055-359-2649,397,"A-320,ELEVATOR외다수",2022-08-10
(주)한진전력,김재민,경상남도 밀양시 부북면 춘화로 154 외 1필지,배전반 및 전기 자동제어반 제조업 외 4 종,055-355-6994,055-355-6995,24,"전기배전반,교통신호제어기",2022-08-10
(주)한진전력,김재민,경상남도 밀양시 부북면 춘화농공단지길 68,배전반 및 전기 자동제어반 제조업 외 2 종,055-355-6994,,3,영상감시장치,2022-08-10
(주)한창요업,윤원선,경상남도 밀양시 부북면 사포공단2길 24,정형 내화 요업제품 제조업 외 1 종,055-354-4598,055-354-4598,0,내화벽돌 및 유사구조용내,2022-08-10
(주)한톨,김은자,경상남도 밀양시 하남읍 시동3리2길 19-3,복합비료 및 기타 화학비료 제조업,055-391-5775,,1,미량요소복합비료,2022-08-10
(주)해일,김상태,경상남도 밀양시 삼랑진읍 용전산업단지길 192 (삼랑진읍),"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",055-802-8181,055-802-8188,4,"농,수도 관(호스)",2022-08-10
(주)해천강건,유현록,경상남도 밀양시 삼랑진읍 사기점길 35 외 5필지,육상 금속 골조 구조재 제조업 외 2 종,055-354-7900,055-354-7300,9,"철구조물, 산업기계, 판넬",2022-08-10
(주)현대그린푸드 영남센터,박홍진,경상남도 밀양시 부북면 사포로 127,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,055-350-9065,055-350-9001,24,"냉동 돈·우육, 농산물 가공품",2022-08-10
(주)현대스틸,박영호,경상남도 밀양시 부북면 사포산단중앙로 131,구조용 금속 판제품 및 공작물 제조업 외 6 종,,055-354-8963,3,"교통안전시설, 철 구조물",2022-08-10
(주)형제목공기계 밀양지점,송정율,경상남도 밀양시 무안면 판정로 124 외 4필지,육상 금속 골조 구조재 제조업,051-346-4100,055-246-4107,5,태양광 구조물,2022-08-10
(주)혜성창호,주태경,경상남도 밀양시 하남읍 하남로 153,플라스틱 창호 제조업,055-391-7850,055-391-7853,5,PVC창호,2022-08-10
(주)호림개발,임원경,경상남도 밀양시 북성로 43 (내이동),"탭, 밸브 및 유사장치 제조업 외 2 종",055-355-8888,055-3566-6666,9,"지하수상부보호공, 수위조절기",2022-08-10
(주)화영,이홍원,경상남도 밀양시 부북면 사포로 105,선박 구성 부분품 제조업 외 8 종,055-359-1100,055-355-1954,90,선박및구성부분품등,2022-08-10
(주)화영제2공장,이홍원,경상남도 밀양시 무안면 무안로 442 외 1필지,선박 구성 부분품 제조업 외 5 종,055-359-1100,055-355-1954,65,선박구성분품등,2022-08-10
(주)화영제3공장,이홍원,경상남도 밀양시 부북면 사포공단2길 8-11,선박 구성 부분품 제조업 외 4 종,055-359-1100,,5,선박및구성부분품등,2022-08-10
KHMHE-밀양,진휘주,경상남도 밀양시 무안면 무안로 414,기타 물품 취급장비 제조업,,051-313-7381,3,호이스트,2022-08-10
TS스틸,은준석,경상남도 밀양시 상남면 상남로 1076,구조용 금속 판제품 및 공작물 제조업,055-355-0054,055-355-8228,4,조립식판넬 부품,2022-08-10
가가컨테이너,지성대,경상남도 밀양시 초동면 검암4길 30,기타 구조용 금속제품 제조업 외 8 종,055-391-1193,055-391-1722,10,건물용 컨테이너 제작,2022-08-10
가야기계,박희영,경상남도 밀양시 부북면 춘화농공단지길 64,볼트 및 너트류 제조업 외 5 종,,055-355-5767,4,"자동차엔진용,기계,유압부품",2022-08-10
강남하우징,최창해,상남인산길 46,일반 제재업 외 1 종,,,4,"제재목, 마루판",2022-08-10
거명테크,방미화,경상남도 밀양시 하남읍 양동농공단지길 28,금속 단조제품 제조업,055-338-5531,055-338-5532,11,금속품 가공,2022-08-10
거성목재(주),이수형,경상남도 밀양시 산외면 산외로 363,일반 제재업,055-354-0188,055-355-1100,4,목재가공품,2022-08-10
건식무역(주),윤용철,경상남도 밀양시 무안면 사명대사생가로 115 외 6필지,김치류 제조업 외 1 종,055-351-4100,055-351-4104,0,김치,2022-08-10
겟에스씨알(주),황현수,경상남도 밀양시 초동면 초동농공단지길 39-52,선박 구성 부분품 제조업,055-355-9593,055-355-9590,9,선박구성부분품 제조업,2022-08-10
경남공영(주),김수길,경상남도 밀양시 삼랑진읍 삼랑진로 465-33 외 3필지,철강선 제조업,054-971-8036,055-351-0794,7,스테인레스와이어,2022-08-10
경동로ENG,"피희묵, 김정숙",경상남도 밀양시 하남읍 성만남전로 403-8,정형 내화 요업제품 제조업 외 3 종,055-391-7763,055-391-7765,1,"내화 몰타르, 산업용 열처리로",2022-08-10
경상원예자재,황찬희,경상남도 밀양시 산내면 임고정2길 26,농업 및 임업용 기계 제조업,,055-355-8222,6,"분무노즐, 스프링쿨러",2022-08-10
고려도토주식회사,손완호,경상남도 밀양시 상남면 밀양대로 696,기타 일반 도자기 제조업,055-353-1679,055-353-1678,23,도자기원료,2022-08-10
광명화학공업사,박영기,경상남도 밀양시 미리벌중앙로2길 20 (삼문동),플라스틱 필름 제조업 외 1 종,055-355-7575,055-355-7577,5,폴리에틸렌필름,2022-08-10
광성(주),황계윤,경상남도 밀양시 초동면 초동농공단지길 55-26 외 2필지,도장 및 기타 피막처리업 외 2 종,055-391-1105,055-391-1109,30,금속표면처리 및 도장,2022-08-10
그린ENG,우경숙,경상남도 밀양시 상남면 조음로 30-14,산업용 난방보일러 및 방열기 제조업,,,0,보일러,2022-08-10
그린이엔지,김수미,경상남도 밀양시 상남면 외평로 427 외 2필지,"산업용 오븐, 노 및 노용 버너 제조업",055-352-1966,055-352-1967,3,소각로 및 대기오염방지시설,2022-08-10
그린화장지,박유순,경상남도 밀양시 상남면 상남로 1044,위생용 종이제품 제조업,055-354-0794,055-354-6301,1,화장지,2022-08-10
금양화학(주),정삼열,경상남도 밀양시 상남면 조음로 251-78,"플라스틱 포대, 봉투 및 유사제품 제조업",055-391-6634,055-391-6631,6,식품비닐포장지,2022-08-10
금천철망휀스산업,"우돈기, 신정옥",경상남도 밀양시 산외면 산외로 249,금속선 가공제품 제조업 외 1 종,,,3,"용접철망, 메쉬휀스",2022-08-10
남지철망산업,황교호,경상남도 밀양시 부북면 무연길 82 외 1필지,금속선 가공제품 제조업,055-355-1854,055-355-1856,8,개비온철망,2022-08-10
네오인더스트리,홍준오,경상남도 밀양시 삼랑진읍 용전산업단지길 190,항공기용 부품 제조업,055-351-0581,055-351-0582,13,항공기부품,2022-08-10
농업회사 다온건강,김은경,,건강보조용 액화식품 제조업,,,5,"구지뽕엑기스,  구기자엑기스, 아로니아엑기스, 생녹용엑기스",2022-08-10
농업회사법인 레드애플팜(주),조용윤,경상남도 밀양시 산내면 하양지길 25-40 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업,055-351-4556,055-351-4558,3,사과주스,2022-08-10
농업회사법인 리치푸드시스템 주식회사,이성준,경상남도 밀양시 삼랑진읍 검세길 170 외 1필지,천연 및 혼합조제 조미료 제조업,051-971-0703,051-972-0704,5,소스류,2022-08-10
농업회사법인 연이랑(주),설원식,경상남도 밀양시 상남면 대성길 123-4,기타 과실ㆍ채소 가공 및 저장 처리업,055-353-3341,055-353-2242,5,"냉동연근,연근가루,연근차",2022-08-10
농업회사법인 오리온농협(주),박민규,경상남도 밀양시 부북면 점필재로 229-1,과자류 및 코코아 제품 제조업,055-802-5000,055-802-8034,57,"식품, 과자, 제분",2022-08-10
농업회사법인 주식회사 미락,남승일,경상남도 밀양시 부북면 춘화리 402-16번지,기타 곡물 가공품 제조업,055-351-4585,055-351-4583,22,누룽지,2022-08-10
농업회사법인 주식회사 안심,안성현,경상남도 밀양시 부북면 춘화로 329,기타 곡물 가공품 제조업,055-351-3530,0504-165-7409,14,누룽지,2022-08-10
농업회사법인(주)강림오가닉,임수복,경상남도 밀양시 초동면 초하로 510 (초동면),식물성 유지 제조업 외 1 종,055-391-6201,055-391-6250,7,"들깨유, 들깨유건강기능식품",2022-08-10
농업회사법인(주)늘자연,김용근,경상남도 밀양시 초동면 초동농공단지길 39-32,유기질 비료 및 상토 제조업 외 1 종,,02-6442-1614,2,"액체비료, 복합비료",2022-08-10
농업회사법인미르맛나향(주),석대성,경상남도 밀양시 무안면 사명로 726-11 외 3필지,기타 과실ㆍ채소 가공 및 저장 처리업,055-351-0654,055-352-0654,2,"캡사이신, 고추 다진양념",2022-08-10
다온식품,정길옥,경상남도 밀양시 산외면 금천남길 14,기타 곡물 가공품 제조업,055-355-3020,055-355-2057,3,떡원료(앙금),2022-08-10
대건테크,김은효,경상남도 밀양시 초동면 초동농공단지길 49,구조용 금속 판제품 및 공작물 제조업,,055-391-0629,26,닥트설비,2022-08-10
대도기공(주),정명기,경상남도 밀양시 삼랑진읍 사기점길 9-1 외 6필지,그 외 기타 일반목적용 기계 제조업 외 1 종,,,9,"배합기, 믹서기 등 사료기계",2022-08-10
대도산업,정명기,경상남도 밀양시 삼랑진읍 사기점길 9 외 2필지,"고무, 화학섬유 및 플라스틱 성형기 제조업",,,1,산업기계,2022-08-10
대동석재,백상호,경상남도 밀양시 무안면 사명대사생가로 100,기타 석제품 제조업,055-352-7526,055-351-2302,2,석재가공,2022-08-10
대동인텍,곽정훈외1명,경상남도 밀양시 하남읍 양명길 99,도장 및 기타 피막처리업,,,12,도장 및 피막처리,2022-08-10
대림목재산업(주),전태봉,경상남도 밀양시 산외면 산외로 371-11 외 2필지,일반 제재업,055-355-0040,055-355-2882,5,"각재, 판재",2022-08-10
대성가설산업,조영희,경상남도 밀양시 하남읍 야촌안길 24-8,육상 금속 골조 구조재 제조업 외 1 종,,055-391-4189,1,건설공사용 가설자재(동바리),2022-08-10
대성산업,박상준,경상남도 밀양시 삼랑진읍 미전2길 49,자동차용 금속 압형제품 제조업 외 1 종,,055-353-2448,2,수도계량기함,2022-08-10
대성에이엔씨(A&C),박영민,경상남도 밀양시 부북면 사포로 65-2 외 6필지,아스팔트 콘크리트 및 혼합제품 제조업,055-356-7900,055-356-7907,3,아스콘,2022-08-10
대성팀버,한재혁,경상남도 밀양시 삼랑진읍 미율로 191-5,일반 제재업,055-339-5651,055-339-3238,10,제재목,2022-08-10
대승정공,최원하,경상남도 밀양시 초동면 성만남전로 91-9,그외 기타 자동차 부품 제조업,055-391-1800,055-391-1805,8,오토미션부품,2022-08-10
대신기계,오동규,경상남도 밀양시 부북면 사포산단중앙로 73,자동차 엔진용 신품 부품 제조업 외 5 종,055-352-6089,055-352-6079,23,자동차 엔진 및 차체용 부품,2022-08-10
대신하이텍(주),오동규,경상남도 밀양시 부북면 사포산단중앙로 73,내연기관 제조업 외 2 종,055-355-9948,,14,"INDEX 제작, 유압구조장비셑, 펌프, 압축기 및 유사장치",2022-08-10
대신한천,임종인외3명,경상남도 밀양시 산외면 산외로 595-3 (총 2 필지) 외 1필지,수산식물 가공 및 저장 처리업,055-353-5834,055-353-5832,9,한천,2022-08-10
대영기계공업(주),"김연숙, 홍순호",경상남도 밀양시 삼랑진읍 미율로 71 (총 3 필지) 외 2필지,자동차 엔진용 신품 부품 제조업 외 4 종,055-350-6600,055-350-6609,94,"에어컨밸브,가바나 레바",2022-08-10
대원산업(주),박영득,경상남도 밀양시 하남읍 양명길 99,도장 및 기타 피막처리업,055-391-6512,055-391-6517,8,도장,2022-08-10
대일타월,김종일,경상남도 밀양시 산외면 남기동길 189,특수 직물 및 기타 직물 직조업,055-355-9607,055-355-9606,5,섬유,2022-08-10
대종코팅산업,김종철,경상남도 밀양시 삼랑진읍 미전농공단지길 35,그 외 자동차용 신품 부품 제조업 외 2 종,055-337-3669,055-338-3669,7,그외 자동차부품,2022-08-10
대하자연식품,전수제,경상남도 밀양시 하남읍 백산2길 38 (총 2 필지) 외 1필지,"면류, 마카로니 및 유사식품 제조업 외 1 종",055-391-5255,055-391-6574,6,"국수,냉면",2022-08-10
대한금속공업사,윤정한,경상남도 밀양시 하남읍 양동농공단지길 12,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,055-391-4796,055-391-4798,7,금속봉인,2022-08-10
대한생약제품(주),신경수,경상남도 밀양시 삼랑진읍 만어로 135,기타 과실ㆍ채소 가공 및 저장 처리업,055-353-3080,55,0,채소가공품,2022-08-10
대화정밀,강대일,경상남도 밀양시 초동면 초동농공단지길 24-16,주형 및 금형 제조업,055-391-4592,055-391-4593,11,열간단조금형,2022-08-10
동곡세라믹,김종열,경상남도 밀양시 추화산성길 36 (교동),복합비료 및 기타 화학비료 제조업 외 1 종,055-352-6292,,1,토질개량용 토사석,2022-08-10
동남화학공업사,정기섭,경상남도 밀양시 상남면 조음로 30-6,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",055-353-7784,055-353-3255,9,메라민수지성형재료,2022-08-10
동림신소재,박병훈,경상남도 밀양시 삼랑진읍 미율로 400,신발 부분품 제조업 외 4 종,055-356-5997,055-356-5998,16,자동차완충용 스폰지,2022-08-10
동밀양농협 가공사업소,김정인,경상남도 밀양시 단장면 표충로 89-62 외 3필지,기타 비알코올 음료 제조업 외 1 종,055-312-5072,055-351-0131,12,대추캔,2022-08-10
동밀양농협 미곡종합처리장,김정인,경상남도 밀양시 산외면 금천남길 2-5,곡물 도정업,055-355-0700,055-355-0854,7,청결미,2022-08-10
동아로지스틱,임현숙,경상남도 밀양시 상남면 이연길 24,그 외 기타 달리 분류되지 않은 운송장비 제조업,055-354-7822,055-354-7821,3,운반용 대차제품,2022-08-10
동아메딕스제약,선제규,경상남도 밀양시 상남면 고노실길 16,기타 비알코올 음료 제조업,055-355-7055,055-355-7057,6,드링크류,2022-08-10
동아바이오헬스(주),선종일,경상남도 밀양시 초동면 범평리 501번지 외 10필지,건강기능식품 제조업 외 1 종,,055-355-7057,5,드링크,2022-08-10
동아포장(주),김연이,경상남도 밀양시 범북1길 2 (교동) (총 3 필지) 외 2필지,골판지 제조업 외 1 종,055-355-1234,055-353-2222,12,골판지상자,2022-08-10
동양 주식회사,김영미,경상남도 밀양시 청도면 청도로 156-45,일반 제재업 외 3 종,055-943-8205,055-715-3819,4,"목재덱, 금속울타리, 놀이대제조(조합놀이대)",2022-08-10
동은단조(주),서경원,경상남도 밀양시 부북면 사포산단1길 90-27 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,055-350-2700,055-355-2141,110,"자동차부품, 단조품",2022-08-10
동일산업사,김철수,경상남도 밀양시 부북면 사포로 139,철도차량 부품 및 관련 장치물 제조업,055-355-9881,055-355-8134,5,철도차량 내장재,2022-08-10
동창단조(주),박권욱,경상남도 밀양시 부북면 사포산단1길 90-17 외 2필지,금속 단조제품 제조업,055-351-3915,055-351-3918,4,"중장비부품(슈,링크)",2022-08-10
동해공업(주),송정한,경상남도 밀양시 삼랑진읍 삼랑진로 465-32,산업용 냉장 및 냉동 장비 제조업,051-207-7441,55,46,냉각탑,2022-08-10
동호테크,옥재욱,경상남도 밀양시 부북면 전사포리 88-21번지,자동차 엔진용 신품 부품 제조업 외 1 종,,,5,자동차 엔진변속장치 부품,2022-08-10
두성영농조합법인,이태순,경상남도 밀양시 하남읍 백산신촌2길 56 외 3필지,기타 과실ㆍ채소 가공 및 저장 처리업,,055-391-1280,4,"가공된 양배추, 무, 단배추",2022-08-10
디케이엠(주),"이현수, 강창원",경상남도 밀양시 무안면 무안로 440,금속 절삭기계 제조업 외 1 종,055-359-1234,055-355-1659,35,"금속절삭가공기계,내연기관",2022-08-10
만고산업(주),박충옥,경상남도 밀양시 초동면 초동농공단지길 23-6 외 1필지,부직포 및 펠트 제조업,055-391-5563,055-391-5542,17,부직포,2022-08-10
매그날 주식회사,현석정,경상남도 밀양시 삼랑진읍 미율로 394-21,"기타 비철금속 제련, 정련 및 합금 제조업",,055-353-3206,5,알루미늄 퍽,2022-08-10
명광기계,강종한,경상남도 밀양시 가곡8길 17 (가곡동),그 외 기타 특수목적용 기계 제조업 외 1 종,055-354-2557,055-352-3331,2,조립금속제품,2022-08-10
명성엔지니어링(주),강귀자,경상남도 밀양시 부북면 춘화리 845번지,"탭, 밸브 및 유사장치 제조업 외 10 종",055-338-6105,055-355-6106,9,상하수도용 밸브 수문,2022-08-10
명진산업(주),이소영,경상남도 밀양시 삼랑진읍 미전2안길 9 외 16필지,육상 금속 골조 구조재 제조업 외 1 종,070-4331-7956,,20,"건설자재, H빔",2022-08-10
무안농협퇴비제조장,김도현,경상남도 밀양시 무안면 신연로 598 외 4필지,복합비료 및 기타 화학비료 제조업 외 1 종,055-352-1141,055-351-1601,6,부산물비료(퇴비),2022-08-10
무안떡집(오병이어),김선애,경상남도 밀양시 무안면 사명대사생가로 71 (총 3 필지) 외 2필지,식용 정제유 및 가공유 제조업 외 1 종,055-352-0585,,4,참기름.떡,2022-08-10
문수수출포장,김상개,경상남도 밀양시 삼랑진읍 미율로 191-7,목재 깔판류 및 기타 적재판 제조업,055-353-7057,055-355-7059,5,"파레트, 목재포장용소재",2022-08-10
물샘관수자재,신홍건,경상남도 밀양시 부북면 추원재길 8,그 외 기타 플라스틱 제품 제조업,,,4,플라스틱 사출 제품,2022-08-10
미르특장(도장부스),"추병근, 김영일",경상남도 밀양시 부북면 사포산단중앙로 27,기타 구조용 금속제품 제조업 외 2 종,055-353-7800,055-353-6100,25,특장차,2022-08-10
미부닥트 주식회사,지영만,경상남도 밀양시 초동면 초동농공단지길 49,선박 구성 부분품 제조업,051-261-0805,051-262-3734,3,닥트설비,2022-08-10
민아트에스윈발전(주),김희범,경상남도 밀양시 부북면 무안로 761 나노융합센터 306호,기타 구조용 금속제품 제조업,055-603-6091,055-901-0257,5,알루미늄 압출제품,2022-08-10
민영흑마늘,김태우,경상남도 밀양시 산외면 엄광3길 4 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업,,,0,"흑마늘, 흑마늘엑기스",2022-08-10
밀양꾸지뽕 영농조합법인,손준호,경상남도 밀양시 산외면 산외남로 49-11 (산외면),기타 과실ㆍ채소 가공 및 저장 처리업,055-354-9333,055-354-9344,1,"꾸지뽕엑기스, 꾸지뽕",2022-08-10
밀양두부학교 농업회사법인 유한회사,김병호,경상남도 밀양시 단장면 표충로 1006,두부 및 유사식품 제조업,,,0,두부 등,2022-08-10
밀양산업,김상익,경상남도 밀양시 하남읍 성만남전로 366-25 외 2필지,비 및 솔 제조업,055-391-4315,055-391-4317,1,청소도구,2022-08-10
밀양제일영농조합법인,구본주,경상남도 밀양시 하남읍 하남로 93,곡물 도정업,055-391-7555,055-391-1221,11,"청결미, 우리밀",2022-08-10
